Date,PM10,TEMP,Temp,WS
2018-01-01,34.8,,,2.9
2018-01-02,14.8,,,3.0
2018-01-03,11.9,,,3.6
2018-01-04,21.9,,,5.8
2018-01-05,39.0,,,6.2
2018-01-06,43.4,,,2.4
2018-01-07,46.2,,,2.5
2018-01-08,29.9,,,2.3
2018-01-09,20.9,,,2.0
2018-01-10,100.5,,,2.0
2018-01-11,20.4,,,1.9
2018-01-12,23.0,,,2.5
2018-01-13,25.1,,,3.2
2018-01-14,13.0,,,3.5
2018-01-15,20.7,,,3.8
2018-01-16,109.4,,,5.3
2018-01-17,43.8,,,6.2
2018-01-18,31.2,,,4.8
2018-01-19,30.5,,,3.8
2018-01-20,24.3,,,2.9
2018-01-21,19.1,,,3.1
2018-01-22,17.2,,,2.6
2018-01-23,15.8,,,1.7
2018-01-24,23.6,,,2.2
2018-01-25,15.8,,,2.0
2018-01-26,24.8,,,1.3
2018-01-27,26.3,,,1.6
2018-01-28,20.4,,,2.7
2018-01-29,24.2,,,3.3
2018-01-30,29.7,,,3.7
2018-01-31,37.1,,,4.8
2018-02-01,36.7,,,6.0
2018-02-02,27.9,,,2.8
2018-02-03,20.0,,,4.9
2018-02-04,17.5,,,2.3
2018-02-05,24.5,,,1.8
2018-02-06,20.0,,,2.3
2018-02-07,32.3,,,4.2
2018-02-08,16.7,,,3.1
2018-02-09,10.2,19.0,,2.4
2018-02-10,72.6,23.0,,3.0
2018-02-11,11.0,23.0,,3.9
2018-02-12,15.1,27.0,,3.3
2018-02-13,29.3,23.0,,3.8
2018-02-14,29.2,25.0,,3.0
2018-02-15,22.3,25.0,,1.7
2018-02-16,22.7,29.0,,2.3
2018-02-17,24.3,26.0,,3.4
2018-02-18,29.4,26.0,,2.3
2018-02-19,28.6,26.0,,2.4
2018-02-20,40.2,26.0,,5.2
2018-02-21,32.0,23.0,,2.4
2018-02-22,28.0,22.0,,2.5
2018-02-23,22.8,22.0,,2.1
2018-02-24,21.4,23.0,,1.7
2018-02-25,22.4,24.0,,1.7
2018-02-26,18.0,23.0,,2.3
2018-02-27,17.7,24.0,,3.3
2018-02-28,24.6,23.0,,4.4
2018-03-01,22.4,24.0,,4.2
2018-03-02,25.4,24.0,,4.2
2018-03-03,35.1,25.0,,4.2
2018-03-04,33.0,25.0,,2.8
2018-03-05,34.4,26.0,,1.6
2018-03-06,33.8,27.0,,1.6
2018-03-07,15.8,25.0,,2.3
2018-03-08,16.4,22.0,,3.0
2018-03-09,19.3,25.0,,1.9
2018-03-10,19.6,23.0,,1.8
2018-03-11,18.5,22.0,,2.6
2018-03-12,17.0,18.0,,2.6
2018-03-13,28.0,22.0,,4.3
2018-03-14,21.2,21.0,,2.2
2018-03-15,28.8,21.0,,1.3
2018-03-16,32.7,22.0,,1.5
2018-03-17,31.0,23.0,,3.2
2018-03-18,18.6,22.0,,3.9
2018-03-19,28.0,23.0,,3.4
2018-03-20,22.3,24.0,,3.5
2018-03-21,30.9,24.0,,2.4
2018-03-22,22.6,24.0,,2.4
2018-03-23,20.7,22.0,,3.6
2018-03-24,18.8,22.0,,3.9
2018-03-25,114.3,22.0,,1.4
2018-03-26,22.5,24.0,,2.9
2018-03-27,14.6,24.0,,2.9
2018-03-28,15.3,23.0,,2.6
2018-03-29,21.0,24.0,,2.2
2018-03-30,15.5,22.0,,1.7
2018-03-31,38.8,22.0,,2.0
2018-04-01,26.6,21.0,,2.0
2018-04-02,19.0,21.0,,1.5
2018-04-03,21.4,23.0,,1.6
2018-04-04,26.3,23.0,,2.4
2018-04-05,23.6,22.0,,2.1
2018-04-06,38.2,23.0,,1.5
2018-04-07,22.7,22.0,,3.1
2018-04-08,27.7,21.0,,2.9
2018-04-09,23.0,21.0,,2.1
2018-04-10,44.0,21.0,,4.1
2018-04-11,42.6,,,
2018-04-12,45.7,,,
2018-04-13,45.1,,,
2018-04-14,34.9,,,
2018-04-15,28.3,,,
2018-04-16,43.0,20.0,,2.1
2018-04-17,46.6,23.0,,2.0
2018-04-18,27.2,18.0,,5.0
2018-04-19,22.3,18.0,,2.6
2018-04-20,52.8,19.0,,3.5
2018-04-21,16.9,20.0,,3.4
2018-04-22,22.7,19.0,,3.2
2018-04-23,26.1,18.0,,2.1
2018-04-24,16.4,17.0,,2.3
2018-04-25,18.4,19.0,,2.2
2018-04-26,41.6,19.0,,1.2
2018-04-27,20.4,19.0,,3.7
2018-04-28,20.6,19.0,,6.0
2018-04-29,21.9,21.0,,5.0
2018-04-30,14.0,20.0,,3.3
2018-05-01,29.4,20.0,,2.1
2018-05-02,19.6,21.0,,2.9
2018-05-03,34.9,17.0,,1.3
2018-05-04,52.9,19.0,,1.1
2018-05-05,57.3,18.0,,2.1
2018-05-06,21.4,19.0,,2.2
2018-05-07,31.2,18.0,,2.9
2018-05-08,30.7,18.0,,2.4
2018-05-09,23.6,20.0,,2.6
2018-05-10,22.5,19.0,,2.8
2018-05-11,22.6,20.0,,3.1
2018-05-12,15.5,18.0,,2.1
2018-05-13,152.2,22.0,,2.9
2018-05-14,18.5,22.0,,2.1
2018-05-15,17.8,20.0,,3.8
2018-05-16,19.5,20.0,,2.6
2018-05-17,21.4,16.0,,3.9
2018-05-18,93.7,18.0,,3.6
2018-05-19,25.8,17.0,,1.9
2018-05-20,22.2,18.0,,2.1
2018-05-21,25.8,19.0,,3.8
2018-05-22,22.8,19.0,,1.5
2018-05-23,21.5,16.0,,3.9
2018-05-24,30.8,16.0,,4.0
2018-05-25,36.8,15.0,,3.7
2018-05-26,30.5,14.0,,3.8
2018-05-27,21.5,15.0,,4.0
2018-05-28,22.7,12.0,,2.5
2018-05-29,36.0,13.0,,2.0
2018-05-30,32.7,13.0,,2.1
2018-05-31,66.6,14.0,,1.9
2018-06-01,46.5,16.0,,2.6
2018-06-02,18.9,16.0,,4.4
2018-06-03,27.4,16.0,,3.2
2018-06-04,23.0,17.0,,3.5
2018-06-05,34.5,16.0,,3.9
2018-06-06,33.2,14.0,,3.8
2018-06-07,27.8,12.0,,4.3
2018-06-08,48.5,15.0,,2.1
2018-06-09,62.4,16.0,,1.9
2018-06-10,34.8,15.0,,1.4
2018-06-11,13.0,12.0,,3.2
2018-06-12,25.1,14.0,,4.7
2018-06-13,21.2,16.0,,2.4
2018-06-14,38.3,16.0,,3.2
2018-06-15,51.0,17.0,,1.7
2018-06-16,96.2,18.0,,2.0
2018-06-17,53.2,17.0,,2.8
2018-06-18,28.7,18.0,,2.8
2018-06-19,30.3,18.0,,1.6
2018-06-20,30.8,,,
2018-06-21,15.2,13.0,,3.8
2018-06-22,31.7,13.0,,2.4
2018-06-23,34.9,15.0,,2.8
2018-06-24,19.6,16.0,,2.4
2018-06-25,13.7,13.0,,4.2
2018-06-26,22.7,12.0,,4.6
2018-06-27,71.9,13.0,,1.7
2018-06-28,59.1,14.0,,1.8
2018-06-29,53.2,12.0,,2.0
2018-06-30,58.9,14.0,,1.0
2018-07-01,33.1,14.0,,3.6
2018-07-02,30.8,15.0,,4.2
2018-07-03,38.1,13.0,,2.7
2018-07-04,37.1,13.0,,3.0
2018-07-05,43.3,13.0,,2.3
2018-07-06,54.0,15.0,,1.7
2018-07-07,56.3,15.0,,1.8
2018-07-08,24.6,16.0,,4.5
2018-07-09,34.2,16.0,,3.6
2018-07-10,38.6,14.0,,5.0
2018-07-11,36.0,14.0,,3.6
2018-07-12,65.2,15.0,,2.2
2018-07-13,52.0,13.0,,2.0
2018-07-14,23.0,16.0,,4.1
2018-07-15,34.5,15.0,,4.3
2018-07-16,34.5,16.0,,2.2
2018-07-17,39.0,16.0,,3.6
2018-07-18,51.9,15.0,,2.2
2018-07-19,24.9,16.0,,1.5
2018-07-20,54.6,15.0,,3.0
2018-07-21,52.5,16.0,,2.9
2018-07-22,28.3,15.0,,2.7
2018-07-23,65.5,14.0,,2.0
2018-07-24,52.6,14.0,,1.9
2018-07-25,51.0,14.0,,3.6
2018-07-26,35.9,17.0,,5.5
2018-07-27,67.9,15.0,,3.3
2018-07-28,51.9,15.0,,3.6
2018-07-29,20.9,17.0,,4.4
2018-07-30,41.9,14.0,,2.6
2018-07-31,29.8,15.0,,2.9
2018-08-01,24.6,16.0,,1.7
2018-08-02,165.4,15.0,,3.5
2018-08-03,34.1,14.0,,1.5
2018-08-04,49.9,15.0,,2.5
2018-08-05,12.2,14.0,,2.8
2018-08-06,28.0,16.0,,2.2
2018-08-07,61.5,17.0,,2.0
2018-08-08,24.0,15.0,,4.1
2018-08-09,52.6,16.0,,3.9
2018-08-10,54.8,16.0,,2.8
2018-08-11,39.6,17.0,,2.6
2018-08-12,33.2,16.0,,1.7
2018-08-13,40.6,15.0,,4.4
2018-08-14,32.2,15.0,,5.7
2018-08-15,37.4,14.0,,5.8
2018-08-16,27.4,17.0,,3.7
2018-08-17,24.6,15.0,,4.7
2018-08-18,33.6,14.0,,3.9
2018-08-19,46.5,14.0,,2.1
2018-08-20,18.3,17.0,,3.3
2018-08-21,14.8,13.0,,3.7
2018-08-22,32.0,13.0,,3.2
2018-08-23,27.2,13.0,,4.5
2018-08-24,26.6,14.0,,4.1
2018-08-25,64.3,15.0,,4.8
2018-08-26,38.2,14.0,,3.1
2018-08-27,43.9,15.0,,1.8
2018-08-28,25.9,17.0,,3.1
2018-08-29,27.6,17.0,,3.7
2018-08-30,27.6,15.0,,2.8
2018-08-31,30.5,17.0,,2.1
2018-09-01,26.8,17.0,,2.1
2018-09-02,36.6,17.0,,4.0
2018-09-03,27.5,14.0,,1.5
2018-09-04,22.9,12.0,,2.9
2018-09-05,17.2,16.0,,2.8
2018-09-06,14.7,14.0,,3.4
2018-09-07,23.9,15.0,,4.2
2018-09-08,14.2,16.0,,3.8
2018-09-09,26.7,13.0,,4.4
2018-09-10,18.3,15.0,,2.5
2018-09-11,33.0,17.0,,2.7
2018-09-12,34.1,17.0,,3.0
2018-09-13,25.3,14.0,,3.2
2018-09-14,17.1,16.0,,3.6
2018-09-15,48.4,20.0,,2.5
2018-09-16,32.6,17.0,,3.9
2018-09-17,16.4,19.0,,4.5
2018-09-18,17.1,17.0,,2.6
2018-09-19,13.6,18.0,,3.5
2018-09-20,14.3,20.0,,3.4
2018-09-21,20.4,17.0,,2.5
2018-09-22,26.3,17.0,,2.1
2018-09-23,28.8,15.0,,3.7
2018-09-24,19.0,16.0,,4.0
2018-09-25,31.0,13.0,,6.7
2018-09-26,23.3,14.0,,5.7
2018-09-27,19.2,15.0,,3.5
2018-09-28,26.2,15.0,,3.3
2018-09-29,27.4,16.0,,3.3
2018-09-30,26.1,18.0,,2.6
2018-10-01,17.7,18.0,,2.6
2018-10-02,16.8,17.0,,2.7
2018-10-03,19.2,18.0,,2.0
2018-10-04,19.1,17.0,,2.6
2018-10-05,20.5,18.0,,3.0
2018-10-06,21.4,19.0,,3.6
2018-10-07,38.2,19.0,,3.4
2018-10-08,26.2,17.0,,2.6
2018-10-09,30.9,16.0,,2.5
2018-10-10,22.1,16.0,,3.2
2018-10-11,26.4,17.0,,4.0
2018-10-12,32.7,16.0,,6.5
2018-10-13,19.5,14.0,,3.6
2018-10-14,35.8,16.0,,3.4
2018-10-15,32.0,18.0,,2.6
2018-10-16,29.3,15.0,,3.3
2018-10-17,18.3,15.0,,3.9
2018-10-18,28.0,17.0,,3.2
2018-10-19,26.7,20.0,,2.6
2018-10-20,46.2,20.0,,2.1
2018-10-21,28.9,20.0,,2.4
2018-10-22,19.0,20.0,,1.9
2018-10-23,18.7,20.0,,2.2
2018-10-24,37.8,19.0,,1.7
2018-10-25,24.2,19.0,,2.9
2018-10-26,63.7,17.0,,2.4
2018-10-27,26.1,19.0,,4.9
2018-10-28,10.4,18.0,,1.8
2018-10-29,33.4,18.0,,2.3
2018-10-30,30.9,15.0,,3.0
2018-10-31,18.4,18.0,,2.2
2018-11-01,29.3,15.0,,4.8
2018-11-02,28.5,17.0,,2.6
2018-11-03,57.1,18.0,,2.5
2018-11-04,72.2,18.0,,4.0
2018-11-05,78.9,17.0,,3.2
2018-11-06,109.1,20.0,,1.7
2018-11-07,85.4,21.0,,2.0
2018-11-08,25.9,21.0,,1.6
2018-11-09,24.1,21.0,,3.7
2018-11-10,23.2,17.0,,2.0
2018-11-11,25.4,18.0,,2.9
2018-11-12,24.7,20.0,,1.7
2018-11-13,27.8,20.0,,1.6
2018-11-14,20.0,21.0,,3.6
2018-11-15,16.4,21.0,,2.9
2018-11-16,22.0,22.0,,2.4
2018-11-17,34.1,21.0,,1.3
2018-11-18,22.1,21.0,,1.8
2018-11-19,17.7,16.0,,2.4
2018-11-20,24.6,15.0,,1.8
2018-11-21,220.0,17.0,,2.1
2018-11-22,24.0,18.0,,1.7
2018-11-23,26.8,21.0,,2.9
2018-11-24,10.4,18.0,,4.0
2018-11-25,46.6,20.0,,3.2
2018-11-26,52.4,21.0,,1.6
2018-11-27,25.6,21.0,,2.1
2018-11-28,29.4,22.0,,2.4
2018-11-29,21.2,23.0,,2.2
2018-11-30,203.4,21.0,,4.3
2018-12-01,33.2,20.0,,4.8
2018-12-02,28.3,23.0,,4.3
2018-12-03,17.4,20.0,,3.2
2018-12-04,27.2,21.0,,2.7
2018-12-07,25.8,19.0,,2.3
2018-12-08,37.0,19.0,,2.0
2018-12-09,32.1,20.0,,2.2
2018-12-10,33.8,20.0,,2.1
2018-12-11,33.5,23.0,,2.8
2018-12-12,37.2,23.0,,1.3
2018-12-13,61.1,24.0,,2.1
2018-12-14,19.8,23.0,,3.2
2018-12-15,44.1,23.0,,3.2
2018-12-16,21.1,24.0,,1.4
2018-12-17,18.3,24.0,,1.3
2018-12-18,15.0,24.0,,1.8
2018-12-19,14.7,23.0,,1.7
2018-12-20,39.3,21.0,,2.2
2018-12-21,19.9,20.0,,2.8
2018-12-22,22.0,22.0,,1.8
2018-12-23,13.7,21.0,,2.5
2018-12-24,14.3,20.0,,3.0
2018-12-25,17.8,20.0,,5.0
2018-12-26,34.5,21.0,,2.5
2018-12-27,31.0,21.0,,1.9
2018-12-28,25.8,22.0,,1.6
2018-12-29,21.7,24.0,,2.5
2018-12-30,19.4,23.0,,1.6
2018-12-31,24.7,22.0,,1.9
2019-01-01,21.8,23.0,,1.8
2019-01-02,23.2,23.0,,1.7
2019-01-03,20.2,23.0,,2.4
2019-01-04,32.2,22.0,,2.8
2019-01-05,42.5,23.0,,1.8
