Date,chronic_unscaled,chronic_monthly,isPartial,scale,chronic
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,0,,,,
2018-01-04,0,,,,
2018-01-05,0,,,,
2018-01-06,65,,,,
2018-01-07,62,48.0,False,0.48,29.759999999999998
2018-01-08,56,48.0,,0.48,26.88
2018-01-09,0,48.0,,0.48,0.0
2018-01-10,55,48.0,,0.48,26.4
2018-01-11,56,48.0,,0.48,26.88
2018-01-12,0,48.0,,0.48,0.0
2018-01-13,0,48.0,,0.48,0.0
2018-01-14,56,22.0,False,0.22,12.32
2018-01-15,0,22.0,,0.22,0.0
2018-01-16,100,22.0,,0.22,22.0
2018-01-17,51,22.0,,0.22,11.22
2018-01-18,0,22.0,,0.22,0.0
2018-01-19,60,22.0,,0.22,13.2
2018-01-20,0,22.0,,0.22,0.0
2018-01-21,56,23.0,False,0.23,12.88
2018-01-22,0,23.0,,0.23,0.0
2018-01-23,0,23.0,,0.23,0.0
2018-01-24,0,23.0,,0.23,0.0
2018-01-25,0,23.0,,0.23,0.0
2018-01-26,0,23.0,,0.23,0.0
2018-01-27,0,23.0,,0.23,0.0
2018-01-28,66,34.0,False,0.34,22.44
2018-01-29,0,34.0,,0.34,0.0
2018-01-30,0,34.0,,0.34,0.0
2018-01-31,49,34.0,,0.34,16.66
2018-02-01,0,34.0,,0.34,0.0
2018-02-02,0,34.0,,0.34,0.0
2018-02-03,65,34.0,,0.34,22.1
2018-02-04,0,11.0,False,0.11,0.0
2018-02-05,58,11.0,,0.11,6.38
2018-02-06,0,11.0,,0.11,0.0
2018-02-07,52,11.0,,0.11,5.72
2018-02-08,0,11.0,,0.11,0.0
2018-02-09,0,11.0,,0.11,0.0
2018-02-10,59,11.0,,0.11,6.49
2018-02-11,0,53.0,False,0.53,0.0
2018-02-12,0,53.0,,0.53,0.0
2018-02-13,100,53.0,,0.53,53.0
2018-02-14,52,53.0,,0.53,27.560000000000002
2018-02-15,55,53.0,,0.53,29.150000000000002
2018-02-16,0,53.0,,0.53,0.0
2018-02-17,68,53.0,,0.53,36.04
2018-02-18,0,21.0,False,0.21,0.0
2018-02-19,0,21.0,,0.21,0.0
2018-02-20,49,21.0,,0.21,10.29
2018-02-21,0,21.0,,0.21,0.0
2018-02-22,0,21.0,,0.21,0.0
2018-02-23,0,21.0,,0.21,0.0
2018-02-24,0,21.0,,0.21,0.0
2018-02-25,58,41.0,False,0.41,23.779999999999998
2018-02-26,97,41.0,,0.41,39.769999999999996
2018-02-27,0,41.0,,0.41,0.0
2018-02-28,0,41.0,,0.41,0.0
2018-03-01,0,41.0,,0.41,0.0
2018-03-02,0,41.0,,0.41,0.0
2018-03-03,30,41.0,,0.41,12.299999999999999
2018-03-04,100,52.0,False,0.52,52.0
2018-03-05,44,52.0,,0.52,22.880000000000003
2018-03-06,0,52.0,,0.52,0.0
2018-03-07,22,52.0,,0.52,11.440000000000001
2018-03-08,23,52.0,,0.52,11.96
2018-03-09,0,52.0,,0.52,0.0
2018-03-10,0,52.0,,0.52,0.0
2018-03-11,0,21.0,False,0.21,0.0
2018-03-12,0,21.0,,0.21,0.0
2018-03-13,23,21.0,,0.21,4.83
2018-03-14,0,21.0,,0.21,0.0
2018-03-15,23,21.0,,0.21,4.83
2018-03-16,0,21.0,,0.21,0.0
2018-03-17,0,21.0,,0.21,0.0
2018-03-18,0,31.0,False,0.31,0.0
2018-03-19,0,31.0,,0.31,0.0
2018-03-20,0,31.0,,0.31,0.0
2018-03-21,47,31.0,,0.31,14.57
2018-03-22,0,31.0,,0.31,0.0
2018-03-23,0,31.0,,0.31,0.0
2018-03-24,28,31.0,,0.31,8.68
2018-03-25,76,22.0,False,0.22,16.72
2018-03-26,0,22.0,,0.22,0.0
2018-03-27,23,22.0,,0.22,5.06
2018-03-28,0,22.0,,0.22,0.0
2018-03-29,0,22.0,,0.22,0.0
2018-03-30,31,22.0,,0.22,6.82
2018-03-31,30,22.0,,0.22,6.6
2018-04-01,0,55.0,False,0.55,0.0
2018-04-02,42,55.0,,0.55,23.1
2018-04-03,0,55.0,,0.55,0.0
2018-04-04,100,55.0,,0.55,55.00000000000001
2018-04-05,0,55.0,,0.55,0.0
2018-04-06,80,55.0,,0.55,44.0
2018-04-07,0,55.0,,0.55,0.0
2018-04-08,39,92.0,False,0.92,35.88
2018-04-09,33,92.0,,0.92,30.360000000000003
2018-04-10,67,92.0,,0.92,61.64
2018-04-11,0,92.0,,0.92,0.0
2018-04-12,71,92.0,,0.92,65.32000000000001
2018-04-13,0,92.0,,0.92,0.0
2018-04-14,0,92.0,,0.92,0.0
2018-04-15,40,44.0,False,0.44,17.6
2018-04-16,0,44.0,,0.44,0.0
2018-04-17,74,44.0,,0.44,32.56
2018-04-18,38,44.0,,0.44,16.72
2018-04-19,0,44.0,,0.44,0.0
2018-04-20,42,44.0,,0.44,18.48
2018-04-21,0,44.0,,0.44,0.0
2018-04-22,0,22.0,False,0.22,0.0
2018-04-23,36,22.0,,0.22,7.92
2018-04-24,40,22.0,,0.22,8.8
2018-04-25,80,22.0,,0.22,17.6
2018-04-26,0,22.0,,0.22,0.0
2018-04-27,0,22.0,,0.22,0.0
2018-04-28,42,22.0,,0.22,9.24
2018-04-29,0,63.0,False,0.63,0.0
2018-04-30,0,63.0,,0.63,0.0
2018-05-01,0,63.0,,0.63,0.0
2018-05-02,25,63.0,,0.63,15.75
2018-05-03,0,63.0,,0.63,0.0
2018-05-04,0,63.0,,0.63,0.0
2018-05-05,66,63.0,,0.63,41.58
2018-05-06,0,61.0,False,0.61,0.0
2018-05-07,25,61.0,,0.61,15.25
2018-05-08,0,61.0,,0.61,0.0
2018-05-09,0,61.0,,0.61,0.0
2018-05-10,25,61.0,,0.61,15.25
2018-05-11,0,61.0,,0.61,0.0
2018-05-12,0,61.0,,0.61,0.0
2018-05-13,55,41.0,False,0.41,22.549999999999997
2018-05-14,0,41.0,,0.41,0.0
2018-05-15,0,41.0,,0.41,0.0
2018-05-16,100,41.0,,0.41,41.0
2018-05-17,0,41.0,,0.41,0.0
2018-05-18,30,41.0,,0.41,12.299999999999999
2018-05-19,0,41.0,,0.41,0.0
2018-05-20,0,52.0,False,0.52,0.0
2018-05-21,0,52.0,,0.52,0.0
2018-05-22,73,52.0,,0.52,37.96
2018-05-23,0,52.0,,0.52,0.0
2018-05-24,26,52.0,,0.52,13.52
2018-05-25,29,52.0,,0.52,15.08
2018-05-26,0,52.0,,0.52,0.0
2018-05-27,28,53.0,False,0.53,14.84
2018-05-28,25,53.0,,0.53,13.25
2018-05-29,0,53.0,,0.53,0.0
2018-05-30,0,53.0,,0.53,0.0
2018-05-31,53,53.0,,0.53,28.09
2018-06-01,97,53.0,,0.53,51.410000000000004
2018-06-02,54,53.0,,0.53,28.62
2018-06-03,100,75.0,False,0.75,75.0
2018-06-04,0,75.0,,0.75,0.0
2018-06-05,39,75.0,,0.75,29.25
2018-06-06,0,75.0,,0.75,0.0
2018-06-07,42,75.0,,0.75,31.5
2018-06-08,49,75.0,,0.75,36.75
2018-06-09,0,75.0,,0.75,0.0
2018-06-10,46,50.0,False,0.5,23.0
2018-06-11,0,50.0,,0.5,0.0
2018-06-12,0,50.0,,0.5,0.0
2018-06-13,38,50.0,,0.5,19.0
2018-06-14,40,50.0,,0.5,20.0
2018-06-15,0,50.0,,0.5,0.0
2018-06-16,0,50.0,,0.5,0.0
2018-06-17,89,31.0,False,0.31,27.59
2018-06-18,0,31.0,,0.31,0.0
2018-06-19,0,31.0,,0.31,0.0
2018-06-20,0,31.0,,0.31,0.0
2018-06-21,40,31.0,,0.31,12.4
2018-06-22,48,31.0,,0.31,14.879999999999999
2018-06-23,0,31.0,,0.31,0.0
2018-06-24,0,22.0,False,0.22,0.0
2018-06-25,0,22.0,,0.22,0.0
2018-06-26,0,22.0,,0.22,0.0
2018-06-27,41,22.0,,0.22,9.02
2018-06-28,0,22.0,,0.22,0.0
2018-06-29,0,22.0,,0.22,0.0
2018-06-30,0,22.0,,0.22,0.0
2018-07-01,0,32.0,False,0.32,0.0
2018-07-02,0,32.0,,0.32,0.0
2018-07-03,0,32.0,,0.32,0.0
2018-07-04,62,32.0,,0.32,19.84
2018-07-05,0,32.0,,0.32,0.0
2018-07-06,0,32.0,,0.32,0.0
2018-07-07,0,32.0,,0.32,0.0
2018-07-08,0,45.0,False,0.45,0.0
2018-07-09,0,45.0,,0.45,0.0
2018-07-10,32,45.0,,0.45,14.4
2018-07-11,0,45.0,,0.45,0.0
2018-07-12,69,45.0,,0.45,31.05
2018-07-13,74,45.0,,0.45,33.300000000000004
2018-07-14,40,45.0,,0.45,18.0
2018-07-15,0,45.0,False,0.45,0.0
2018-07-16,0,45.0,,0.45,0.0
2018-07-17,0,45.0,,0.45,0.0
2018-07-18,100,45.0,,0.45,45.0
2018-07-19,33,45.0,,0.45,14.85
2018-07-20,0,45.0,,0.45,0.0
2018-07-21,0,45.0,,0.45,0.0
2018-07-22,0,11.0,False,0.11,0.0
2018-07-23,0,11.0,,0.11,0.0
2018-07-24,31,11.0,,0.11,3.41
2018-07-25,58,11.0,,0.11,6.38
2018-07-26,0,11.0,,0.11,0.0
2018-07-27,0,11.0,,0.11,0.0
2018-07-28,0,11.0,,0.11,0.0
2018-07-29,0,53.0,False,0.53,0.0
2018-07-30,0,53.0,,0.53,0.0
2018-07-31,0,53.0,,0.53,0.0
2018-08-01,0,53.0,,0.53,0.0
2018-08-02,0,53.0,,0.53,0.0
2018-08-03,38,53.0,,0.53,20.14
2018-08-04,43,53.0,,0.53,22.790000000000003
2018-08-05,0,11.0,False,0.11,0.0
2018-08-06,0,11.0,,0.11,0.0
2018-08-07,64,11.0,,0.11,7.04
2018-08-08,63,11.0,,0.11,6.93
2018-08-09,33,11.0,,0.11,3.63
2018-08-10,0,11.0,,0.11,0.0
2018-08-11,0,11.0,,0.11,0.0
2018-08-12,0,32.0,False,0.32,0.0
2018-08-13,0,32.0,,0.32,0.0
2018-08-14,0,32.0,,0.32,0.0
2018-08-15,0,32.0,,0.32,0.0
2018-08-16,32,32.0,,0.32,10.24
2018-08-17,0,32.0,,0.32,0.0
2018-08-18,0,32.0,,0.32,0.0
2018-08-19,38,11.0,False,0.11,4.18
2018-08-20,0,11.0,,0.11,0.0
2018-08-21,0,11.0,,0.11,0.0
2018-08-22,32,11.0,,0.11,3.52
2018-08-23,67,11.0,,0.11,7.37
2018-08-24,0,11.0,,0.11,0.0
2018-08-25,0,11.0,,0.11,0.0
2018-08-26,0,44.0,False,0.44,0.0
2018-08-27,33,44.0,,0.44,14.52
2018-08-28,100,44.0,,0.44,44.0
2018-08-29,0,44.0,,0.44,0.0
2018-08-30,0,44.0,,0.44,0.0
2018-08-31,40,44.0,,0.44,17.6
2018-09-01,44,44.0,,0.44,19.36
2018-09-02,0,33.0,False,0.33,0.0
2018-09-03,0,33.0,,0.33,0.0
2018-09-04,0,33.0,,0.33,0.0
2018-09-05,0,33.0,,0.33,0.0
2018-09-06,65,33.0,,0.33,21.45
2018-09-07,0,33.0,,0.33,0.0
2018-09-08,0,33.0,,0.33,0.0
2018-09-09,0,44.0,False,0.44,0.0
2018-09-10,100,44.0,,0.44,44.0
2018-09-11,33,44.0,,0.44,14.52
2018-09-12,34,44.0,,0.44,14.96
2018-09-13,35,44.0,,0.44,15.4
2018-09-14,0,44.0,,0.44,0.0
2018-09-15,0,44.0,,0.44,0.0
2018-09-16,38,33.0,False,0.33,12.540000000000001
2018-09-17,0,33.0,,0.33,0.0
2018-09-18,0,33.0,,0.33,0.0
2018-09-19,0,33.0,,0.33,0.0
2018-09-20,34,33.0,,0.33,11.22
2018-09-21,0,33.0,,0.33,0.0
2018-09-22,91,33.0,,0.33,30.03
2018-09-23,0,33.0,False,0.33,0.0
2018-09-24,0,33.0,,0.33,0.0
2018-09-25,33,33.0,,0.33,10.89
2018-09-26,66,33.0,,0.33,21.78
2018-09-27,0,33.0,,0.33,0.0
2018-09-28,0,33.0,,0.33,0.0
2018-09-29,0,33.0,,0.33,0.0
2018-09-30,0,72.0,False,0.72,0.0
2018-10-01,100,72.0,,0.72,72.0
2018-10-02,0,72.0,,0.72,0.0
2018-10-03,34,72.0,,0.72,24.48
2018-10-04,34,72.0,,0.72,24.48
2018-10-05,40,72.0,,0.72,28.799999999999997
2018-10-06,0,72.0,,0.72,0.0
2018-10-07,0,47.0,False,0.47,0.0
2018-10-08,0,47.0,,0.47,0.0
2018-10-09,0,47.0,,0.47,0.0
2018-10-10,0,47.0,,0.47,0.0
2018-10-11,0,47.0,,0.47,0.0
2018-10-12,38,47.0,,0.47,17.86
2018-10-13,0,47.0,,0.47,0.0
2018-10-14,0,23.0,False,0.23,0.0
2018-10-15,32,23.0,,0.23,7.36
2018-10-16,61,23.0,,0.23,14.030000000000001
2018-10-17,63,23.0,,0.23,14.49
2018-10-18,0,23.0,,0.23,0.0
2018-10-19,0,23.0,,0.23,0.0
2018-10-20,0,23.0,,0.23,0.0
2018-10-21,0,34.0,False,0.34,0.0
2018-10-22,0,34.0,,0.34,0.0
2018-10-23,0,34.0,,0.34,0.0
2018-10-24,31,34.0,,0.34,10.540000000000001
2018-10-25,0,34.0,,0.34,0.0
2018-10-26,0,34.0,,0.34,0.0
2018-10-27,0,34.0,,0.34,0.0
2018-10-28,33,75.0,False,0.75,24.75
2018-10-29,55,75.0,,0.75,41.25
2018-10-30,0,75.0,,0.75,0.0
2018-10-31,33,75.0,,0.75,24.75
2018-11-01,0,75.0,,0.75,0.0
2018-11-02,43,75.0,,0.75,32.25
2018-11-03,0,75.0,,0.75,0.0
2018-11-04,0,64.0,False,0.64,0.0
2018-11-05,100,64.0,,0.64,64.0
2018-11-06,0,64.0,,0.64,0.0
2018-11-07,0,64.0,,0.64,0.0
2018-11-08,0,64.0,,0.64,0.0
2018-11-09,0,64.0,,0.64,0.0
2018-11-10,48,64.0,,0.64,30.72
2018-11-11,40,45.0,False,0.45,18.0
2018-11-12,37,45.0,,0.45,16.650000000000002
2018-11-13,0,45.0,,0.45,0.0
2018-11-14,75,45.0,,0.45,33.75
2018-11-15,0,45.0,,0.45,0.0
2018-11-16,46,45.0,,0.45,20.7
2018-11-17,0,45.0,,0.45,0.0
2018-11-18,83,43.0,False,0.43,35.69
2018-11-19,36,43.0,,0.43,15.48
2018-11-20,0,43.0,,0.43,0.0
2018-11-21,0,43.0,,0.43,0.0
2018-11-22,0,43.0,,0.43,0.0
2018-11-23,0,43.0,,0.43,0.0
2018-11-24,44,43.0,,0.43,18.919999999999998
2018-11-25,0,22.0,False,0.22,0.0
2018-11-26,0,22.0,,0.22,0.0
2018-11-27,37,22.0,,0.22,8.14
2018-11-28,0,22.0,,0.22,0.0
2018-11-29,78,22.0,,0.22,17.16
2018-11-30,43,22.0,,0.22,9.46
2018-12-01,0,22.0,,0.22,0.0
2018-12-02,0,24.0,False,0.24,0.0
2018-12-03,0,24.0,,0.24,0.0
2018-12-04,44,24.0,,0.24,10.559999999999999
2018-12-05,0,24.0,,0.24,0.0
2018-12-06,48,24.0,,0.24,11.52
2018-12-07,0,24.0,,0.24,0.0
2018-12-08,0,24.0,,0.24,0.0
2018-12-09,0,24.0,False,0.24,0.0
2018-12-10,0,24.0,,0.24,0.0
2018-12-11,46,24.0,,0.24,11.04
2018-12-12,0,24.0,,0.24,0.0
2018-12-13,100,24.0,,0.24,24.0
2018-12-14,0,24.0,,0.24,0.0
2018-12-15,0,24.0,,0.24,0.0
2018-12-16,53,49.0,False,0.49,25.97
2018-12-17,0,49.0,,0.49,0.0
2018-12-18,0,49.0,,0.49,0.0
2018-12-19,48,49.0,,0.49,23.52
2018-12-20,49,49.0,,0.49,24.009999999999998
2018-12-21,57,49.0,,0.49,27.93
2018-12-22,64,49.0,,0.49,31.36
2018-12-23,0,15.0,False,0.15,0.0
2018-12-24,0,15.0,,0.15,0.0
2018-12-25,0,15.0,,0.15,0.0
2018-12-26,0,15.0,,0.15,0.0
2018-12-27,60,15.0,,0.15,9.0
2018-12-28,0,15.0,,0.15,0.0
2018-12-29,63,15.0,,0.15,9.45
2018-12-30,0,14.0,False,0.14,0.0
2018-12-31,0,14.0,,0.14,0.0
2019-01-01,0,14.0,,0.14,0.0
2019-01-02,48,14.0,,0.14,6.720000000000001
2019-01-03,0,14.0,,0.14,0.0
2019-01-04,51,14.0,,0.14,7.140000000000001
2019-01-05,0,14.0,,0.14,0.0
2019-01-06,45,49.0,False,0.49,22.05
2019-01-07,0,49.0,,0.49,0.0
2019-01-08,42,49.0,,0.49,20.58
2019-01-09,81,49.0,,0.49,39.69
2019-01-10,0,49.0,,0.49,0.0
2019-01-11,0,49.0,,0.49,0.0
2019-01-12,0,49.0,,0.49,0.0
2019-01-13,43,59.0,False,0.59,25.369999999999997
2019-01-14,39,59.0,,0.59,23.009999999999998
2019-01-15,0,59.0,,0.59,0.0
2019-01-16,0,59.0,,0.59,0.0
2019-01-17,0,59.0,,0.59,0.0
2019-01-18,0,59.0,,0.59,0.0
2019-01-19,50,59.0,,0.59,29.5
2019-01-20,42,12.0,False,0.12,5.04
2019-01-21,0,12.0,,0.12,0.0
2019-01-22,39,12.0,,0.12,4.68
2019-01-23,74,12.0,,0.12,8.879999999999999
2019-01-24,39,12.0,,0.12,4.68
2019-01-25,0,12.0,,0.12,0.0
2019-01-26,100,12.0,,0.12,12.0
2019-01-27,47,70.0,False,0.7,32.9
2019-01-28,81,70.0,,0.7,56.699999999999996
2019-01-29,37,70.0,,0.7,25.9
2019-01-30,37,70.0,,0.7,25.9
2019-01-31,0,70.0,,0.7,0.0
2019-02-01,0,70.0,,0.7,0.0
2019-02-02,56,70.0,,0.7,39.199999999999996
2019-02-03,0,34.0,False,0.34,0.0
2019-02-04,0,34.0,,0.34,0.0
2019-02-05,0,34.0,,0.34,0.0
2019-02-06,49,34.0,,0.34,16.66
2019-02-07,0,34.0,,0.34,0.0
2019-02-08,50,34.0,,0.34,17.0
2019-02-09,0,34.0,,0.34,0.0
2019-02-10,48,78.0,False,0.78,37.44
2019-02-11,0,78.0,,0.78,0.0
2019-02-12,88,78.0,,0.78,68.64
2019-02-13,43,78.0,,0.78,33.54
2019-02-14,45,78.0,,0.78,35.1
2019-02-15,0,78.0,,0.78,0.0
2019-02-16,0,78.0,,0.78,0.0
2019-02-17,95,44.0,False,0.44,41.8
2019-02-18,44,44.0,,0.44,19.36
2019-02-19,0,44.0,,0.44,0.0
2019-02-20,0,44.0,,0.44,0.0
2019-02-21,0,44.0,,0.44,0.0
2019-02-22,0,44.0,,0.44,0.0
2019-02-23,0,44.0,,0.44,0.0
2019-02-24,100,69.0,False,0.69,69.0
2019-02-25,0,69.0,,0.69,0.0
2019-02-26,0,69.0,,0.69,0.0
2019-02-27,44,69.0,,0.69,30.36
2019-02-28,0,69.0,,0.69,0.0
2019-03-01,0,69.0,,0.69,0.0
2019-03-02,0,69.0,,0.69,0.0
2019-03-03,0,58.0,False,0.58,0.0
2019-03-04,0,58.0,,0.58,0.0
2019-03-05,0,58.0,,0.58,0.0
2019-03-06,0,58.0,,0.58,0.0
2019-03-07,82,58.0,,0.58,47.559999999999995
2019-03-08,0,58.0,,0.58,0.0
2019-03-09,0,58.0,,0.58,0.0
2019-03-10,0,57.0,False,0.57,0.0
2019-03-11,0,57.0,,0.57,0.0
2019-03-12,81,57.0,,0.57,46.169999999999995
2019-03-13,82,57.0,,0.57,46.739999999999995
2019-03-14,85,57.0,,0.57,48.449999999999996
2019-03-15,0,57.0,,0.57,0.0
2019-03-16,0,57.0,,0.57,0.0
2019-03-17,0,23.0,False,0.23,0.0
2019-03-18,0,23.0,,0.23,0.0
2019-03-19,0,23.0,,0.23,0.0
2019-03-20,0,23.0,,0.23,0.0
2019-03-21,85,23.0,,0.23,19.55
2019-03-22,99,23.0,,0.23,22.77
2019-03-23,0,23.0,,0.23,0.0
2019-03-24,0,57.0,False,0.57,0.0
2019-03-25,0,57.0,,0.57,0.0
2019-03-26,0,57.0,,0.57,0.0
2019-03-27,0,57.0,,0.57,0.0
2019-03-28,82,57.0,,0.57,46.739999999999995
2019-03-29,100,57.0,,0.57,56.99999999999999
2019-03-30,0,57.0,,0.57,0.0
2019-03-31,85,57.0,False,0.57,48.449999999999996
2019-04-01,0,57.0,,0.57,0.0
2019-04-02,59,57.0,,0.57,33.629999999999995
2019-04-03,0,57.0,,0.57,0.0
2019-04-04,29,57.0,,0.57,16.529999999999998
2019-04-05,35,57.0,,0.57,19.95
2019-04-06,0,57.0,,0.57,0.0
2019-04-07,100,34.0,False,0.34,34.0
2019-04-08,0,34.0,,0.34,0.0
2019-04-09,0,34.0,,0.34,0.0
2019-04-10,28,34.0,,0.34,9.520000000000001
2019-04-11,0,34.0,,0.34,0.0
2019-04-12,0,34.0,,0.34,0.0
2019-04-13,0,34.0,,0.34,0.0
2019-04-14,0,13.0,False,0.13,0.0
2019-04-15,31,13.0,,0.13,4.03
2019-04-16,0,13.0,,0.13,0.0
2019-04-17,33,13.0,,0.13,4.29
2019-04-18,0,13.0,,0.13,0.0
2019-04-19,0,13.0,,0.13,0.0
2019-04-20,0,13.0,,0.13,0.0
2019-04-21,0,63.0,False,0.63,0.0
2019-04-22,35,63.0,,0.63,22.05
2019-04-23,32,63.0,,0.63,20.16
2019-04-24,0,63.0,,0.63,0.0
2019-04-25,31,63.0,,0.63,19.53
2019-04-26,0,63.0,,0.63,0.0
2019-04-27,34,63.0,,0.63,21.42
2019-04-28,58,22.0,False,0.22,12.76
2019-04-29,0,22.0,,0.22,0.0
2019-04-30,0,22.0,,0.22,0.0
2019-05-01,0,22.0,,0.22,0.0
2019-05-02,0,22.0,,0.22,0.0
2019-05-03,0,22.0,,0.22,0.0
2019-05-04,60,22.0,,0.22,13.2
2019-05-05,100,55.0,False,0.55,55.00000000000001
2019-05-06,88,55.0,,0.55,48.400000000000006
2019-05-07,0,55.0,,0.55,0.0
2019-05-08,88,55.0,,0.55,48.400000000000006
2019-05-09,0,55.0,,0.55,0.0
2019-05-10,0,55.0,,0.55,0.0
2019-05-11,56,55.0,,0.55,30.800000000000004
2019-05-12,0,0.0,False,0.0,0.0
2019-05-13,43,0.0,,0.0,0.0
2019-05-14,0,0.0,,0.0,0.0
2019-05-15,0,0.0,,0.0,0.0
2019-05-16,0,0.0,,0.0,0.0
2019-05-17,0,0.0,,0.0,0.0
2019-05-18,0,0.0,,0.0,0.0
2019-05-19,0,56.0,False,0.56,0.0
2019-05-20,87,56.0,,0.56,48.720000000000006
2019-05-21,0,56.0,,0.56,0.0
2019-05-22,42,56.0,,0.56,23.520000000000003
2019-05-23,0,56.0,,0.56,0.0
2019-05-24,0,56.0,,0.56,0.0
2019-05-25,0,56.0,,0.56,0.0
2019-05-26,0,10.0,False,0.1,0.0
2019-05-27,0,10.0,,0.1,0.0
2019-05-28,0,10.0,,0.1,0.0
2019-05-29,0,10.0,,0.1,0.0
2019-05-30,40,10.0,,0.1,4.0
2019-05-31,94,10.0,,0.1,9.4
2019-06-01,0,10.0,,0.1,0.0
2019-06-02,0,42.0,False,0.42,0.0
2019-06-03,32,42.0,,0.42,13.44
2019-06-04,28,42.0,,0.42,11.76
2019-06-05,0,42.0,,0.42,0.0
2019-06-06,0,42.0,,0.42,0.0
2019-06-07,100,42.0,,0.42,42.0
2019-06-08,0,42.0,,0.42,0.0
2019-06-09,0,52.0,False,0.52,0.0
2019-06-10,0,52.0,,0.52,0.0
2019-06-11,29,52.0,,0.52,15.08
2019-06-12,28,52.0,,0.52,14.56
2019-06-13,0,52.0,,0.52,0.0
2019-06-14,0,52.0,,0.52,0.0
2019-06-15,0,52.0,,0.52,0.0
2019-06-16,63,62.0,False,0.62,39.06
2019-06-17,0,62.0,,0.62,0.0
2019-06-18,29,62.0,,0.62,17.98
2019-06-19,60,62.0,,0.62,37.2
2019-06-20,28,62.0,,0.62,17.36
2019-06-21,33,62.0,,0.62,20.46
2019-06-22,37,62.0,,0.62,22.94
2019-06-23,31,43.0,False,0.43,13.33
2019-06-24,0,43.0,,0.43,0.0
2019-06-25,0,43.0,,0.43,0.0
2019-06-26,0,43.0,,0.43,0.0
2019-06-27,0,43.0,,0.43,0.0
2019-06-28,36,43.0,,0.43,15.48
2019-06-29,0,43.0,,0.43,0.0
2019-06-30,68,32.0,False,0.32,21.76
2019-07-01,0,32.0,,0.32,0.0
2019-07-02,23,32.0,,0.32,7.36
2019-07-03,23,32.0,,0.32,7.36
2019-07-04,0,32.0,,0.32,0.0
2019-07-05,0,32.0,,0.32,0.0
2019-07-06,0,32.0,,0.32,0.0
2019-07-07,0,34.0,False,0.34,0.0
2019-07-08,0,34.0,,0.34,0.0
2019-07-09,0,34.0,,0.34,0.0
2019-07-10,50,34.0,,0.34,17.0
2019-07-11,0,34.0,,0.34,0.0
2019-07-12,0,34.0,,0.34,0.0
2019-07-13,31,34.0,,0.34,10.540000000000001
2019-07-14,26,33.0,False,0.33,8.58
2019-07-15,25,33.0,,0.33,8.25
2019-07-16,100,33.0,,0.33,33.0
2019-07-17,25,33.0,,0.33,8.25
2019-07-18,26,33.0,,0.33,8.58
2019-07-19,0,33.0,,0.33,0.0
2019-07-20,0,33.0,,0.33,0.0
