Date,mould_unscaled,mould_monthly,isPartial,scale,mould
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,0,,,,
2018-01-04,35,,,,
2018-01-05,39,,,,
2018-01-06,0,,,,
2018-01-07,0,38.0,False,0.38,0.0
2018-01-08,0,38.0,,0.38,0.0
2018-01-09,73,38.0,,0.38,27.740000000000002
2018-01-10,0,38.0,,0.38,0.0
2018-01-11,0,38.0,,0.38,0.0
2018-01-12,0,38.0,,0.38,0.0
2018-01-13,45,38.0,,0.38,17.1
2018-01-14,0,35.0,False,0.35,0.0
2018-01-15,100,35.0,,0.35,35.0
2018-01-16,0,35.0,,0.35,0.0
2018-01-17,33,35.0,,0.35,11.549999999999999
2018-01-18,33,35.0,,0.35,11.549999999999999
2018-01-19,0,35.0,,0.35,0.0
2018-01-20,0,35.0,,0.35,0.0
2018-01-21,0,18.0,False,0.18,0.0
2018-01-22,0,18.0,,0.18,0.0
2018-01-23,0,18.0,,0.18,0.0
2018-01-24,35,18.0,,0.18,6.3
2018-01-25,35,18.0,,0.18,6.3
2018-01-26,82,18.0,,0.18,14.76
2018-01-27,0,18.0,,0.18,0.0
2018-01-28,0,27.0,False,0.27,0.0
2018-01-29,37,27.0,,0.27,9.99
2018-01-30,34,27.0,,0.27,9.18
2018-01-31,33,27.0,,0.27,8.91
2018-02-01,0,27.0,,0.27,0.0
2018-02-02,0,27.0,,0.27,0.0
2018-02-03,0,27.0,,0.27,0.0
2018-02-04,0,35.0,False,0.35,0.0
2018-02-05,0,35.0,,0.35,0.0
2018-02-06,46,35.0,,0.35,16.099999999999998
2018-02-07,0,35.0,,0.35,0.0
2018-02-08,0,35.0,,0.35,0.0
2018-02-09,0,35.0,,0.35,0.0
2018-02-10,47,35.0,,0.35,16.45
2018-02-11,41,43.0,False,0.43,17.63
2018-02-12,0,43.0,,0.43,0.0
2018-02-13,39,43.0,,0.43,16.77
2018-02-14,83,43.0,,0.43,35.69
2018-02-15,0,43.0,,0.43,0.0
2018-02-16,100,43.0,,0.43,43.0
2018-02-17,0,43.0,,0.43,0.0
2018-02-18,45,43.0,False,0.43,19.35
2018-02-19,39,43.0,,0.43,16.77
2018-02-20,0,43.0,,0.43,0.0
2018-02-21,80,43.0,,0.43,34.4
2018-02-22,0,43.0,,0.43,0.0
2018-02-23,0,43.0,,0.43,0.0
2018-02-24,56,43.0,,0.43,24.08
2018-02-25,0,41.0,False,0.41,0.0
2018-02-26,39,41.0,,0.41,15.989999999999998
2018-02-27,78,41.0,,0.41,31.979999999999997
2018-02-28,77,41.0,,0.41,31.569999999999997
2018-03-01,49,41.0,,0.41,20.09
2018-03-02,59,41.0,,0.41,24.189999999999998
2018-03-03,0,41.0,,0.41,0.0
2018-03-04,56,67.0,False,0.67,37.52
2018-03-05,0,67.0,,0.67,0.0
2018-03-06,0,67.0,,0.67,0.0
2018-03-07,50,67.0,,0.67,33.5
2018-03-08,0,67.0,,0.67,0.0
2018-03-09,0,67.0,,0.67,0.0
2018-03-10,0,67.0,,0.67,0.0
2018-03-11,56,42.0,False,0.42,23.52
2018-03-12,0,42.0,,0.42,0.0
2018-03-13,0,42.0,,0.42,0.0
2018-03-14,0,42.0,,0.42,0.0
2018-03-15,0,42.0,,0.42,0.0
2018-03-16,63,42.0,,0.42,26.459999999999997
2018-03-17,0,42.0,,0.42,0.0
2018-03-18,0,58.0,False,0.58,0.0
2018-03-19,100,58.0,,0.58,57.99999999999999
2018-03-20,0,58.0,,0.58,0.0
2018-03-21,52,58.0,,0.58,30.159999999999997
2018-03-22,0,58.0,,0.58,0.0
2018-03-23,59,58.0,,0.58,34.22
2018-03-24,0,58.0,,0.58,0.0
2018-03-25,0,61.0,False,0.61,0.0
2018-03-26,0,61.0,,0.61,0.0
2018-03-27,0,61.0,,0.61,0.0
2018-03-28,0,61.0,,0.61,0.0
2018-03-29,0,61.0,,0.61,0.0
2018-03-30,0,61.0,,0.61,0.0
2018-03-31,69,61.0,,0.61,42.089999999999996
2018-04-01,0,35.0,False,0.35,0.0
2018-04-02,36,35.0,,0.35,12.6
2018-04-03,30,35.0,,0.35,10.5
2018-04-04,29,35.0,,0.35,10.149999999999999
2018-04-05,0,35.0,,0.35,0.0
2018-04-06,0,35.0,,0.35,0.0
2018-04-07,0,35.0,,0.35,0.0
2018-04-08,100,33.0,False,0.33,33.0
2018-04-09,0,33.0,,0.33,0.0
2018-04-10,0,33.0,,0.33,0.0
2018-04-11,30,33.0,,0.33,9.9
2018-04-12,0,33.0,,0.33,0.0
2018-04-13,0,33.0,,0.33,0.0
2018-04-14,36,33.0,,0.33,11.88
2018-04-15,34,52.0,False,0.52,17.68
2018-04-16,0,52.0,,0.52,0.0
2018-04-17,0,52.0,,0.52,0.0
2018-04-18,66,52.0,,0.52,34.32
2018-04-19,33,52.0,,0.52,17.16
2018-04-20,0,52.0,,0.52,0.0
2018-04-21,40,52.0,,0.52,20.8
2018-04-22,37,9.0,False,0.09,3.33
2018-04-23,0,9.0,,0.09,0.0
2018-04-24,0,9.0,,0.09,0.0
2018-04-25,0,9.0,,0.09,0.0
2018-04-26,0,9.0,,0.09,0.0
2018-04-27,35,9.0,,0.09,3.15
2018-04-28,0,9.0,,0.09,0.0
2018-04-29,33,25.0,False,0.25,8.25
2018-04-30,0,25.0,,0.25,0.0
2018-05-01,0,25.0,,0.25,0.0
2018-05-02,25,25.0,,0.25,6.25
2018-05-03,0,25.0,,0.25,0.0
2018-05-04,0,25.0,,0.25,0.0
2018-05-05,0,25.0,,0.25,0.0
2018-05-06,0,33.0,False,0.33,0.0
2018-05-07,0,33.0,,0.33,0.0
2018-05-08,0,33.0,,0.33,0.0
2018-05-09,0,33.0,,0.33,0.0
2018-05-10,0,33.0,,0.33,0.0
2018-05-11,0,33.0,,0.33,0.0
2018-05-12,31,33.0,,0.33,10.23
2018-05-13,0,50.0,False,0.5,0.0
2018-05-14,100,50.0,,0.5,50.0
2018-05-15,0,50.0,,0.5,0.0
2018-05-16,0,50.0,,0.5,0.0
2018-05-17,0,50.0,,0.5,0.0
2018-05-18,0,50.0,,0.5,0.0
2018-05-19,31,50.0,,0.5,15.5
2018-05-20,0,50.0,False,0.5,0.0
2018-05-21,25,50.0,,0.5,12.5
2018-05-22,25,50.0,,0.5,12.5
2018-05-23,0,50.0,,0.5,0.0
2018-05-24,0,50.0,,0.5,0.0
2018-05-25,61,50.0,,0.5,30.5
2018-05-26,33,50.0,,0.5,16.5
2018-05-27,0,68.0,False,0.68,0.0
2018-05-28,0,68.0,,0.68,0.0
2018-05-29,52,68.0,,0.68,35.36
2018-05-30,54,68.0,,0.68,36.720000000000006
2018-05-31,55,68.0,,0.68,37.400000000000006
2018-06-01,45,68.0,,0.68,30.6
2018-06-02,0,68.0,,0.68,0.0
2018-06-03,0,17.0,False,0.17,0.0
2018-06-04,0,17.0,,0.17,0.0
2018-06-05,0,17.0,,0.17,0.0
2018-06-06,72,17.0,,0.17,12.24
2018-06-07,0,17.0,,0.17,0.0
2018-06-08,0,17.0,,0.17,0.0
2018-06-09,0,17.0,,0.17,0.0
2018-06-10,41,56.0,False,0.56,22.96
2018-06-11,0,56.0,,0.56,0.0
2018-06-12,100,56.0,,0.56,56.00000000000001
2018-06-13,0,56.0,,0.56,0.0
2018-06-14,36,56.0,,0.56,20.160000000000004
2018-06-15,0,56.0,,0.56,0.0
2018-06-16,47,56.0,,0.56,26.320000000000004
2018-06-17,0,50.0,False,0.5,0.0
2018-06-18,0,50.0,,0.5,0.0
2018-06-19,35,50.0,,0.5,17.5
2018-06-20,0,50.0,,0.5,0.0
2018-06-21,0,50.0,,0.5,0.0
2018-06-22,44,50.0,,0.5,22.0
2018-06-23,0,50.0,,0.5,0.0
2018-06-24,42,69.0,False,0.69,28.979999999999997
2018-06-25,73,69.0,,0.69,50.37
2018-06-26,36,69.0,,0.69,24.839999999999996
2018-06-27,38,69.0,,0.69,26.22
2018-06-28,0,69.0,,0.69,0.0
2018-06-29,0,69.0,,0.69,0.0
2018-06-30,50,69.0,,0.69,34.5
2018-07-01,27,9.0,False,0.09,2.4299999999999997
2018-07-02,24,9.0,,0.09,2.16
2018-07-03,0,9.0,,0.09,0.0
2018-07-04,0,9.0,,0.09,0.0
2018-07-05,0,9.0,,0.09,0.0
2018-07-06,0,9.0,,0.09,0.0
2018-07-07,0,9.0,,0.09,0.0
2018-07-08,0,36.0,False,0.36,0.0
2018-07-09,26,36.0,,0.36,9.36
2018-07-10,50,36.0,,0.36,18.0
2018-07-11,0,36.0,,0.36,0.0
2018-07-12,0,36.0,,0.36,0.0
2018-07-13,0,36.0,,0.36,0.0
2018-07-14,65,36.0,,0.36,23.4
2018-07-15,0,63.0,False,0.63,0.0
2018-07-16,53,63.0,,0.63,33.39
2018-07-17,0,63.0,,0.63,0.0
2018-07-18,0,63.0,,0.63,0.0
2018-07-19,27,63.0,,0.63,17.01
2018-07-20,31,63.0,,0.63,19.53
2018-07-21,100,63.0,,0.63,63.0
2018-07-22,58,85.0,False,0.85,49.3
2018-07-23,25,85.0,,0.85,21.25
2018-07-24,0,85.0,,0.85,0.0
2018-07-25,24,85.0,,0.85,20.4
2018-07-26,25,85.0,,0.85,21.25
2018-07-27,58,85.0,,0.85,49.3
2018-07-28,0,85.0,,0.85,0.0
2018-07-29,0,42.0,False,0.42,0.0
2018-07-30,0,42.0,,0.42,0.0
2018-07-31,48,42.0,,0.42,20.16
2018-08-01,33,42.0,,0.42,13.86
2018-08-02,0,42.0,,0.42,0.0
2018-08-03,0,42.0,,0.42,0.0
2018-08-04,48,42.0,,0.42,20.16
2018-08-05,0,51.0,False,0.51,0.0
2018-08-06,100,51.0,,0.51,51.0
2018-08-07,67,51.0,,0.51,34.17
2018-08-08,0,51.0,,0.51,0.0
2018-08-09,0,51.0,,0.51,0.0
2018-08-10,42,51.0,,0.51,21.42
2018-08-11,0,51.0,,0.51,0.0
2018-08-12,80,34.0,False,0.34,27.200000000000003
2018-08-13,68,34.0,,0.34,23.12
2018-08-14,0,34.0,,0.34,0.0
2018-08-15,35,34.0,,0.34,11.9
2018-08-16,0,34.0,,0.34,0.0
2018-08-17,39,34.0,,0.34,13.260000000000002
2018-08-18,0,34.0,,0.34,0.0
2018-08-19,0,52.0,False,0.52,0.0
2018-08-20,0,52.0,,0.52,0.0
2018-08-21,35,52.0,,0.52,18.2
2018-08-22,69,52.0,,0.52,35.88
2018-08-23,0,52.0,,0.52,0.0
2018-08-24,0,52.0,,0.52,0.0
2018-08-25,45,52.0,,0.52,23.400000000000002
2018-08-26,0,71.0,False,0.71,0.0
2018-08-27,0,71.0,,0.71,0.0
2018-08-28,35,71.0,,0.71,24.849999999999998
2018-08-29,0,71.0,,0.71,0.0
2018-08-30,37,71.0,,0.71,26.27
2018-08-31,42,71.0,,0.71,29.82
2018-09-01,100,71.0,,0.71,71.0
2018-09-02,0,79.0,False,0.79,0.0
2018-09-03,30,79.0,,0.79,23.700000000000003
2018-09-04,0,79.0,,0.79,0.0
2018-09-05,61,79.0,,0.79,48.190000000000005
2018-09-06,29,79.0,,0.79,22.91
2018-09-07,18,79.0,,0.79,14.22
2018-09-08,0,79.0,,0.79,0.0
2018-09-09,0,26.0,False,0.26,0.0
2018-09-10,45,26.0,,0.26,11.700000000000001
2018-09-11,0,26.0,,0.26,0.0
2018-09-12,0,26.0,,0.26,0.0
2018-09-13,0,26.0,,0.26,0.0
2018-09-14,0,26.0,,0.26,0.0
2018-09-15,20,26.0,,0.26,5.2
2018-09-16,17,26.0,False,0.26,4.42
2018-09-17,0,26.0,,0.26,0.0
2018-09-18,0,26.0,,0.26,0.0
2018-09-19,0,26.0,,0.26,0.0
2018-09-20,0,26.0,,0.26,0.0
2018-09-21,18,26.0,,0.26,4.68
2018-09-22,0,26.0,,0.26,0.0
2018-09-23,0,27.0,False,0.27,0.0
2018-09-24,0,27.0,,0.27,0.0
2018-09-25,15,27.0,,0.27,4.050000000000001
2018-09-26,0,27.0,,0.27,0.0
2018-09-27,16,27.0,,0.27,4.32
2018-09-28,0,27.0,,0.27,0.0
2018-09-29,40,27.0,,0.27,10.8
2018-09-30,18,19.0,False,0.19,3.42
2018-10-01,0,19.0,,0.19,0.0
2018-10-02,23,19.0,,0.19,4.37
2018-10-03,67,19.0,,0.19,12.73
2018-10-04,23,19.0,,0.19,4.37
2018-10-05,27,19.0,,0.19,5.13
2018-10-06,0,19.0,,0.19,0.0
2018-10-07,0,47.0,False,0.47,0.0
2018-10-08,23,47.0,,0.47,10.809999999999999
2018-10-09,0,47.0,,0.47,0.0
2018-10-10,23,47.0,,0.47,10.809999999999999
2018-10-11,0,47.0,,0.47,0.0
2018-10-12,25,47.0,,0.47,11.75
2018-10-13,29,47.0,,0.47,13.629999999999999
2018-10-14,0,45.0,False,0.45,0.0
2018-10-15,0,45.0,,0.45,0.0
2018-10-16,0,45.0,,0.45,0.0
2018-10-17,21,45.0,,0.45,9.450000000000001
2018-10-18,0,45.0,,0.45,0.0
2018-10-19,26,45.0,,0.45,11.700000000000001
2018-10-20,30,45.0,,0.45,13.5
2018-10-21,0,53.0,False,0.53,0.0
2018-10-22,46,53.0,,0.53,24.380000000000003
2018-10-23,0,53.0,,0.53,0.0
2018-10-24,21,53.0,,0.53,11.13
2018-10-25,21,53.0,,0.53,11.13
2018-10-26,100,53.0,,0.53,53.0
2018-10-27,0,53.0,,0.53,0.0
2018-10-28,0,43.0,False,0.43,0.0
2018-10-29,0,43.0,,0.43,0.0
2018-10-30,0,43.0,,0.43,0.0
2018-10-31,22,43.0,,0.43,9.459999999999999
2018-11-01,78,43.0,,0.43,33.54
2018-11-02,0,43.0,,0.43,0.0
2018-11-03,48,43.0,,0.43,20.64
2018-11-04,0,26.0,False,0.26,0.0
2018-11-05,35,26.0,,0.26,9.1
2018-11-06,38,26.0,,0.26,9.88
2018-11-07,72,26.0,,0.26,18.72
2018-11-08,35,26.0,,0.26,9.1
2018-11-09,45,26.0,,0.26,11.700000000000001
2018-11-10,97,26.0,,0.26,25.220000000000002
2018-11-11,0,91.0,False,0.91,0.0
2018-11-12,38,91.0,,0.91,34.58
2018-11-13,38,91.0,,0.91,34.58
2018-11-14,39,91.0,,0.91,35.49
2018-11-15,40,91.0,,0.91,36.4
2018-11-16,95,91.0,,0.91,86.45
2018-11-17,100,91.0,,0.91,91.0
2018-11-18,0,35.0,False,0.35,0.0
2018-11-19,0,35.0,,0.35,0.0
2018-11-20,0,35.0,,0.35,0.0
2018-11-21,0,35.0,,0.35,0.0
2018-11-22,0,35.0,,0.35,0.0
2018-11-23,43,35.0,,0.35,15.049999999999999
2018-11-24,0,35.0,,0.35,0.0
2018-11-25,0,35.0,False,0.35,0.0
2018-11-26,0,35.0,,0.35,0.0
2018-11-27,0,35.0,,0.35,0.0
2018-11-28,0,35.0,,0.35,0.0
2018-11-29,0,35.0,,0.35,0.0
2018-11-30,88,35.0,,0.35,30.799999999999997
2018-12-01,35,35.0,,0.35,12.25
2018-12-02,0,47.0,False,0.47,0.0
2018-12-03,0,47.0,,0.47,0.0
2018-12-04,28,47.0,,0.47,13.16
2018-12-05,0,47.0,,0.47,0.0
2018-12-06,0,47.0,,0.47,0.0
2018-12-07,38,47.0,,0.47,17.86
2018-12-08,0,47.0,,0.47,0.0
2018-12-09,100,59.0,False,0.59,59.0
2018-12-10,0,59.0,,0.59,0.0
2018-12-11,0,59.0,,0.59,0.0
2018-12-12,30,59.0,,0.59,17.7
2018-12-13,0,59.0,,0.59,0.0
2018-12-14,0,59.0,,0.59,0.0
2018-12-15,0,59.0,,0.59,0.0
2018-12-16,34,10.0,False,0.1,3.4000000000000004
2018-12-17,0,10.0,,0.1,0.0
2018-12-18,29,10.0,,0.1,2.9000000000000004
2018-12-19,0,10.0,,0.1,0.0
2018-12-20,0,10.0,,0.1,0.0
2018-12-21,0,10.0,,0.1,0.0
2018-12-22,40,10.0,,0.1,4.0
2018-12-23,0,35.0,False,0.35,0.0
2018-12-24,0,35.0,,0.35,0.0
2018-12-25,0,35.0,,0.35,0.0
2018-12-26,37,35.0,,0.35,12.95
2018-12-27,38,35.0,,0.35,13.299999999999999
2018-12-28,0,35.0,,0.35,0.0
2018-12-29,0,35.0,,0.35,0.0
2018-12-30,39,34.0,False,0.34,13.260000000000002
2018-12-31,0,34.0,,0.34,0.0
2019-01-01,0,34.0,,0.34,0.0
2019-01-02,0,34.0,,0.34,0.0
2019-01-03,0,34.0,,0.34,0.0
2019-01-04,0,34.0,,0.34,0.0
2019-01-05,60,34.0,,0.34,20.400000000000002
2019-01-06,100,10.0,False,0.1,10.0
2019-01-07,0,10.0,,0.1,0.0
2019-01-08,0,10.0,,0.1,0.0
2019-01-09,0,10.0,,0.1,0.0
2019-01-10,0,10.0,,0.1,0.0
2019-01-11,0,10.0,,0.1,0.0
2019-01-12,0,10.0,,0.1,0.0
2019-01-13,0,38.0,False,0.38,0.0
2019-01-14,83,38.0,,0.38,31.54
2019-01-15,42,38.0,,0.38,15.96
2019-01-16,0,38.0,,0.38,0.0
2019-01-17,0,38.0,,0.38,0.0
2019-01-18,96,38.0,,0.38,36.480000000000004
2019-01-19,0,38.0,,0.38,0.0
2019-01-20,0,18.0,False,0.18,0.0
2019-01-21,0,18.0,,0.18,0.0
2019-01-22,42,18.0,,0.18,7.56
2019-01-23,0,18.0,,0.18,0.0
2019-01-24,0,18.0,,0.18,0.0
2019-01-25,0,18.0,,0.18,0.0
2019-01-26,57,18.0,,0.18,10.26
2019-01-27,0,19.0,False,0.19,0.0
2019-01-28,0,19.0,,0.19,0.0
2019-01-29,0,19.0,,0.19,0.0
2019-01-30,0,19.0,,0.19,0.0
2019-01-31,0,19.0,,0.19,0.0
2019-02-01,0,19.0,,0.19,0.0
2019-02-02,0,19.0,,0.19,0.0
2019-02-03,48,27.0,False,0.27,12.96
2019-02-04,86,27.0,,0.27,23.220000000000002
2019-02-05,48,27.0,,0.27,12.96
2019-02-06,0,27.0,,0.27,0.0
2019-02-07,45,27.0,,0.27,12.15
2019-02-08,0,27.0,,0.27,0.0
2019-02-09,0,27.0,,0.27,0.0
2019-02-10,0,35.0,False,0.35,0.0
2019-02-11,44,35.0,,0.35,15.399999999999999
2019-02-12,44,35.0,,0.35,15.399999999999999
2019-02-13,43,35.0,,0.35,15.049999999999999
2019-02-14,0,35.0,,0.35,0.0
2019-02-15,52,35.0,,0.35,18.2
2019-02-16,0,35.0,,0.35,0.0
2019-02-17,0,35.0,False,0.35,0.0
2019-02-18,44,35.0,,0.35,15.399999999999999
2019-02-19,46,35.0,,0.35,16.099999999999998
2019-02-20,90,35.0,,0.35,31.499999999999996
2019-02-21,0,35.0,,0.35,0.0
2019-02-22,100,35.0,,0.35,35.0
2019-02-23,0,35.0,,0.35,0.0
2019-02-24,0,37.0,False,0.37,0.0
2019-02-25,45,37.0,,0.37,16.65
2019-02-26,0,37.0,,0.37,0.0
2019-02-27,0,37.0,,0.37,0.0
2019-02-28,46,37.0,,0.37,17.02
2019-03-01,62,37.0,,0.37,22.94
2019-03-02,0,37.0,,0.37,0.0
2019-03-03,0,37.0,False,0.37,0.0
2019-03-04,0,37.0,,0.37,0.0
2019-03-05,0,37.0,,0.37,0.0
2019-03-06,49,37.0,,0.37,18.13
2019-03-07,50,37.0,,0.37,18.5
2019-03-08,0,37.0,,0.37,0.0
2019-03-09,66,37.0,,0.37,24.419999999999998
2019-03-10,0,28.0,False,0.28,0.0
2019-03-11,0,28.0,,0.28,0.0
2019-03-12,0,28.0,,0.28,0.0
2019-03-13,0,28.0,,0.28,0.0
2019-03-14,51,28.0,,0.28,14.280000000000001
2019-03-15,0,28.0,,0.28,0.0
2019-03-16,0,28.0,,0.28,0.0
2019-03-17,0,19.0,False,0.19,0.0
2019-03-18,0,19.0,,0.19,0.0
2019-03-19,0,19.0,,0.19,0.0
2019-03-20,100,19.0,,0.19,19.0
2019-03-21,0,19.0,,0.19,0.0
2019-03-22,0,19.0,,0.19,0.0
2019-03-23,66,19.0,,0.19,12.540000000000001
2019-03-24,51,27.0,False,0.27,13.770000000000001
2019-03-25,49,27.0,,0.27,13.23
2019-03-26,0,27.0,,0.27,0.0
2019-03-27,0,27.0,,0.27,0.0
2019-03-28,50,27.0,,0.27,13.5
2019-03-29,0,27.0,,0.27,0.0
2019-03-30,0,27.0,,0.27,0.0
2019-03-31,0,36.0,False,0.36,0.0
2019-04-01,45,36.0,,0.36,16.2
2019-04-02,47,36.0,,0.36,16.919999999999998
2019-04-03,46,36.0,,0.36,16.56
2019-04-04,0,36.0,,0.36,0.0
2019-04-05,0,36.0,,0.36,0.0
2019-04-06,0,36.0,,0.36,0.0
2019-04-07,0,28.0,False,0.28,0.0
2019-04-08,0,28.0,,0.28,0.0
2019-04-09,47,28.0,,0.28,13.160000000000002
2019-04-10,46,28.0,,0.28,12.88
2019-04-11,46,28.0,,0.28,12.88
2019-04-12,0,28.0,,0.28,0.0
2019-04-13,0,28.0,,0.28,0.0
2019-04-14,57,41.0,False,0.41,23.369999999999997
2019-04-15,100,41.0,,0.41,41.0
2019-04-16,0,41.0,,0.41,0.0
2019-04-17,0,41.0,,0.41,0.0
2019-04-18,59,41.0,,0.41,24.189999999999998
2019-04-19,0,41.0,,0.41,0.0
2019-04-20,0,41.0,,0.41,0.0
2019-04-21,65,69.0,False,0.69,44.849999999999994
2019-04-22,0,69.0,,0.69,0.0
2019-04-23,0,69.0,,0.69,0.0
2019-04-24,0,69.0,,0.69,0.0
2019-04-25,51,69.0,,0.69,35.19
2019-04-26,0,69.0,,0.69,0.0
2019-04-27,0,69.0,,0.69,0.0
2019-04-28,0,18.0,False,0.18,0.0
2019-04-29,0,18.0,,0.18,0.0
2019-04-30,0,18.0,,0.18,0.0
2019-05-01,0,18.0,,0.18,0.0
2019-05-02,0,18.0,,0.18,0.0
2019-05-03,0,18.0,,0.18,0.0
2019-05-04,100,18.0,,0.18,18.0
2019-05-05,83,9.0,False,0.09,7.47
2019-05-06,0,9.0,,0.09,0.0
2019-05-07,0,9.0,,0.09,0.0
2019-05-08,72,9.0,,0.09,6.4799999999999995
2019-05-09,72,9.0,,0.09,6.4799999999999995
2019-05-10,0,9.0,,0.09,0.0
2019-05-11,93,9.0,,0.09,8.37
2019-05-12,0,36.0,False,0.36,0.0
2019-05-13,0,36.0,,0.36,0.0
2019-05-14,0,36.0,,0.36,0.0
2019-05-15,72,36.0,,0.36,25.919999999999998
2019-05-16,0,36.0,,0.36,0.0
2019-05-17,0,36.0,,0.36,0.0
2019-05-18,0,36.0,,0.36,0.0
2019-05-19,0,35.0,False,0.35,0.0
2019-05-20,0,35.0,,0.35,0.0
2019-05-21,0,35.0,,0.35,0.0
2019-05-22,0,35.0,,0.35,0.0
2019-05-23,72,35.0,,0.35,25.2
2019-05-24,0,35.0,,0.35,0.0
2019-05-25,100,35.0,,0.35,35.0
2019-05-26,82,17.0,False,0.17,13.940000000000001
2019-05-27,0,17.0,,0.17,0.0
2019-05-28,71,17.0,,0.17,12.07
2019-05-29,0,17.0,,0.17,0.0
2019-05-30,0,17.0,,0.17,0.0
2019-05-31,0,17.0,,0.17,0.0
2019-06-01,0,17.0,,0.17,0.0
2019-06-02,55,42.0,False,0.42,23.099999999999998
2019-06-03,96,42.0,,0.42,40.32
2019-06-04,42,42.0,,0.42,17.64
2019-06-05,0,42.0,,0.42,0.0
2019-06-06,85,42.0,,0.42,35.699999999999996
2019-06-07,0,42.0,,0.42,0.0
2019-06-08,0,42.0,,0.42,0.0
2019-06-09,0,42.0,False,0.42,0.0
2019-06-10,42,42.0,,0.42,17.64
2019-06-11,0,42.0,,0.42,0.0
2019-06-12,42,42.0,,0.42,17.64
2019-06-13,0,42.0,,0.42,0.0
2019-06-14,49,42.0,,0.42,20.58
2019-06-15,55,42.0,,0.42,23.099999999999998
2019-06-16,0,25.0,False,0.25,0.0
2019-06-17,43,25.0,,0.25,10.75
2019-06-18,0,25.0,,0.25,0.0
2019-06-19,89,25.0,,0.25,22.25
2019-06-20,0,25.0,,0.25,0.0
2019-06-21,49,25.0,,0.25,12.25
2019-06-22,0,25.0,,0.25,0.0
2019-06-23,0,44.0,False,0.44,0.0
2019-06-24,85,44.0,,0.44,37.4
2019-06-25,0,44.0,,0.44,0.0
2019-06-26,0,44.0,,0.44,0.0
2019-06-27,89,44.0,,0.44,39.160000000000004
2019-06-28,55,44.0,,0.44,24.2
2019-06-29,0,44.0,,0.44,0.0
2019-06-30,100,43.0,False,0.43,43.0
2019-07-01,0,43.0,,0.43,0.0
2019-07-02,36,43.0,,0.43,15.48
2019-07-03,35,43.0,,0.43,15.049999999999999
2019-07-04,37,43.0,,0.43,15.91
2019-07-05,0,43.0,,0.43,0.0
2019-07-06,0,43.0,,0.43,0.0
2019-07-07,0,36.0,False,0.36,0.0
2019-07-08,0,36.0,,0.36,0.0
2019-07-09,0,36.0,,0.36,0.0
2019-07-10,0,36.0,,0.36,0.0
2019-07-11,40,36.0,,0.36,14.399999999999999
2019-07-12,86,36.0,,0.36,30.959999999999997
2019-07-13,48,36.0,,0.36,17.28
2019-07-14,0,27.0,False,0.27,0.0
