Date,respiratory_unscaled,respiratory_monthly,isPartial,scale,respiratory
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,0,,,,
2018-01-04,0,,,,
2018-01-05,0,,,,
2018-01-06,0,,,,
2018-01-07,100,13.0,False,0.13,13.0
2018-01-08,0,13.0,,0.13,0.0
2018-01-09,89,13.0,,0.13,11.57
2018-01-10,88,13.0,,0.13,11.440000000000001
2018-01-11,0,13.0,,0.13,0.0
2018-01-12,0,13.0,,0.13,0.0
2018-01-13,0,13.0,,0.13,0.0
2018-01-14,0,0.0,False,0.0,0.0
2018-01-15,0,0.0,,0.0,0.0
2018-01-16,0,0.0,,0.0,0.0
2018-01-17,0,0.0,,0.0,0.0
2018-01-18,0,0.0,,0.0,0.0
2018-01-19,0,0.0,,0.0,0.0
2018-01-20,0,0.0,,0.0,0.0
2018-01-21,0,0.0,False,0.0,0.0
2018-01-22,0,0.0,,0.0,0.0
2018-01-23,0,0.0,,0.0,0.0
2018-01-24,0,0.0,,0.0,0.0
2018-01-25,87,0.0,,0.0,0.0
2018-01-26,0,0.0,,0.0,0.0
2018-01-27,0,0.0,,0.0,0.0
2018-01-28,0,0.0,False,0.0,0.0
2018-01-29,0,0.0,,0.0,0.0
2018-01-30,0,0.0,,0.0,0.0
2018-01-31,0,0.0,,0.0,0.0
2018-02-01,45,0.0,,0.0,0.0
2018-02-02,0,0.0,,0.0,0.0
2018-02-03,0,0.0,,0.0,0.0
2018-02-04,0,23.0,False,0.23,0.0
2018-02-05,0,23.0,,0.23,0.0
2018-02-06,0,23.0,,0.23,0.0
2018-02-07,0,23.0,,0.23,0.0
2018-02-08,0,23.0,,0.23,0.0
2018-02-09,100,23.0,,0.23,23.0
2018-02-10,0,23.0,,0.23,0.0
2018-02-11,0,11.0,False,0.11,0.0
2018-02-12,86,11.0,,0.11,9.46
2018-02-13,0,11.0,,0.11,0.0
2018-02-14,0,11.0,,0.11,0.0
2018-02-15,0,11.0,,0.11,0.0
2018-02-16,0,11.0,,0.11,0.0
2018-02-17,0,11.0,,0.11,0.0
2018-02-18,48,22.0,False,0.22,10.56
2018-02-19,0,22.0,,0.22,0.0
2018-02-20,0,22.0,,0.22,0.0
2018-02-21,43,22.0,,0.22,9.46
2018-02-22,0,22.0,,0.22,0.0
2018-02-23,54,22.0,,0.22,11.88
2018-02-24,0,22.0,,0.22,0.0
2018-02-25,0,11.0,False,0.11,0.0
2018-02-26,42,11.0,,0.11,4.62
2018-02-27,0,11.0,,0.11,0.0
2018-02-28,42,11.0,,0.11,4.62
2018-03-01,0,11.0,,0.11,0.0
2018-03-02,0,11.0,,0.11,0.0
2018-03-03,0,11.0,,0.11,0.0
2018-03-04,0,55.0,False,0.55,0.0
2018-03-05,100,55.0,,0.55,55.00000000000001
2018-03-06,0,55.0,,0.55,0.0
2018-03-07,100,55.0,,0.55,55.00000000000001
2018-03-08,52,55.0,,0.55,28.6
2018-03-09,0,55.0,,0.55,0.0
2018-03-10,70,55.0,,0.55,38.5
2018-03-11,0,11.0,False,0.11,0.0
2018-03-12,49,11.0,,0.11,5.39
2018-03-13,0,11.0,,0.11,0.0
2018-03-14,0,11.0,,0.11,0.0
2018-03-15,0,11.0,,0.11,0.0
2018-03-16,64,11.0,,0.11,7.04
2018-03-17,0,11.0,,0.11,0.0
2018-03-18,58,43.0,False,0.43,24.94
2018-03-19,51,43.0,,0.43,21.93
2018-03-20,52,43.0,,0.43,22.36
2018-03-21,0,43.0,,0.43,0.0
2018-03-22,52,43.0,,0.43,22.36
2018-03-23,59,43.0,,0.43,25.37
2018-03-24,0,43.0,,0.43,0.0
2018-03-25,57,23.0,False,0.23,13.110000000000001
2018-03-26,0,23.0,,0.23,0.0
2018-03-27,0,23.0,,0.23,0.0
2018-03-28,0,23.0,,0.23,0.0
2018-03-29,0,23.0,,0.23,0.0
2018-03-30,0,23.0,,0.23,0.0
2018-03-31,0,23.0,,0.23,0.0
2018-04-01,0,69.0,False,0.69,0.0
2018-04-02,99,69.0,,0.69,68.30999999999999
2018-04-03,0,69.0,,0.69,0.0
2018-04-04,0,69.0,,0.69,0.0
2018-04-05,83,69.0,,0.69,57.269999999999996
2018-04-06,47,69.0,,0.69,32.43
2018-04-07,0,69.0,,0.69,0.0
2018-04-08,46,43.0,False,0.43,19.78
2018-04-09,39,43.0,,0.43,16.77
2018-04-10,0,43.0,,0.43,0.0
2018-04-11,42,43.0,,0.43,18.06
2018-04-12,42,43.0,,0.43,18.06
2018-04-13,0,43.0,,0.43,0.0
2018-04-14,0,43.0,,0.43,0.0
2018-04-15,0,12.0,False,0.12,0.0
2018-04-16,0,12.0,,0.12,0.0
2018-04-17,0,12.0,,0.12,0.0
2018-04-18,0,12.0,,0.12,0.0
2018-04-19,0,12.0,,0.12,0.0
2018-04-20,50,12.0,,0.12,6.0
2018-04-21,0,12.0,,0.12,0.0
2018-04-22,0,23.0,False,0.23,0.0
2018-04-23,0,23.0,,0.23,0.0
2018-04-24,0,23.0,,0.23,0.0
2018-04-25,0,23.0,,0.23,0.0
2018-04-26,0,23.0,,0.23,0.0
2018-04-27,95,23.0,,0.23,21.85
2018-04-28,100,23.0,,0.23,23.0
2018-04-29,0,22.0,False,0.22,0.0
2018-04-30,0,22.0,,0.22,0.0
2018-05-01,0,22.0,,0.22,0.0
2018-05-02,0,22.0,,0.22,0.0
2018-05-03,0,22.0,,0.22,0.0
2018-05-04,0,22.0,,0.22,0.0
2018-05-05,0,22.0,,0.22,0.0
2018-05-06,0,43.0,False,0.43,0.0
2018-05-07,30,43.0,,0.43,12.9
2018-05-08,0,43.0,,0.43,0.0
2018-05-09,30,43.0,,0.43,12.9
2018-05-10,0,43.0,,0.43,0.0
2018-05-11,34,43.0,,0.43,14.62
2018-05-12,0,43.0,,0.43,0.0
2018-05-13,100,44.0,False,0.44,44.0
2018-05-14,0,44.0,,0.44,0.0
2018-05-15,0,44.0,,0.44,0.0
2018-05-16,30,44.0,,0.44,13.2
2018-05-17,31,44.0,,0.44,13.64
2018-05-18,0,44.0,,0.44,0.0
2018-05-19,0,44.0,,0.44,0.0
2018-05-20,35,88.0,False,0.88,30.8
2018-05-21,30,88.0,,0.88,26.4
2018-05-22,30,88.0,,0.88,26.4
2018-05-23,0,88.0,,0.88,0.0
2018-05-24,31,88.0,,0.88,27.28
2018-05-25,0,88.0,,0.88,0.0
2018-05-26,81,88.0,,0.88,71.28
2018-05-27,0,56.0,False,0.56,0.0
2018-05-28,30,56.0,,0.56,16.8
2018-05-29,0,56.0,,0.56,0.0
2018-05-30,64,56.0,,0.56,35.84
2018-05-31,0,56.0,,0.56,0.0
2018-06-01,43,56.0,,0.56,24.080000000000002
2018-06-02,0,56.0,,0.56,0.0
2018-06-03,0,45.0,False,0.45,0.0
2018-06-04,0,45.0,,0.45,0.0
2018-06-05,0,45.0,,0.45,0.0
2018-06-06,71,45.0,,0.45,31.95
2018-06-07,0,45.0,,0.45,0.0
2018-06-08,86,45.0,,0.45,38.7
2018-06-09,0,45.0,,0.45,0.0
2018-06-10,40,53.0,False,0.53,21.200000000000003
2018-06-11,34,53.0,,0.53,18.02
2018-06-12,32,53.0,,0.53,16.96
2018-06-13,34,53.0,,0.53,18.02
2018-06-14,0,53.0,,0.53,0.0
2018-06-15,0,53.0,,0.53,0.0
2018-06-16,46,53.0,,0.53,24.380000000000003
2018-06-17,39,11.0,False,0.11,4.29
2018-06-18,34,11.0,,0.11,3.74
2018-06-19,34,11.0,,0.11,3.74
2018-06-20,0,11.0,,0.11,0.0
2018-06-21,36,11.0,,0.11,3.96
2018-06-22,0,11.0,,0.11,0.0
2018-06-23,0,11.0,,0.11,0.0
2018-06-24,0,57.0,False,0.57,0.0
2018-06-25,34,57.0,,0.57,19.38
2018-06-26,0,57.0,,0.57,0.0
2018-06-27,36,57.0,,0.57,20.52
2018-06-28,0,57.0,,0.57,0.0
2018-06-29,0,57.0,,0.57,0.0
2018-06-30,100,57.0,,0.57,56.99999999999999
2018-07-01,0,34.0,False,0.34,0.0
2018-07-02,0,34.0,,0.34,0.0
2018-07-03,43,34.0,,0.34,14.620000000000001
2018-07-04,44,34.0,,0.34,14.96
2018-07-05,89,34.0,,0.34,30.26
2018-07-06,100,34.0,,0.34,34.0
2018-07-07,0,34.0,,0.34,0.0
2018-07-08,0,12.0,False,0.12,0.0
2018-07-09,0,12.0,,0.12,0.0
2018-07-10,90,12.0,,0.12,10.799999999999999
2018-07-11,45,12.0,,0.12,5.3999999999999995
2018-07-12,0,12.0,,0.12,0.0
2018-07-13,0,12.0,,0.12,0.0
2018-07-14,0,12.0,,0.12,0.0
2018-07-15,49,24.0,False,0.24,11.76
2018-07-16,0,24.0,,0.24,0.0
2018-07-17,0,24.0,,0.24,0.0
2018-07-18,0,24.0,,0.24,0.0
2018-07-19,0,24.0,,0.24,0.0
2018-07-20,0,24.0,,0.24,0.0
2018-07-21,0,24.0,,0.24,0.0
2018-07-22,0,68.0,False,0.68,0.0
2018-07-23,43,68.0,,0.68,29.240000000000002
2018-07-24,44,68.0,,0.68,29.92
2018-07-25,0,68.0,,0.68,0.0
2018-07-26,44,68.0,,0.68,29.92
2018-07-27,0,68.0,,0.68,0.0
2018-07-28,0,68.0,,0.68,0.0
2018-07-29,0,22.0,False,0.22,0.0
2018-07-30,43,22.0,,0.22,9.46
2018-07-31,0,22.0,,0.22,0.0
2018-08-01,0,22.0,,0.22,0.0
2018-08-02,71,22.0,,0.22,15.62
2018-08-03,0,22.0,,0.22,0.0
2018-08-04,0,22.0,,0.22,0.0
2018-08-05,0,22.0,False,0.22,0.0
2018-08-06,0,22.0,,0.22,0.0
2018-08-07,0,22.0,,0.22,0.0
2018-08-08,0,22.0,,0.22,0.0
2018-08-09,0,22.0,,0.22,0.0
2018-08-10,0,22.0,,0.22,0.0
2018-08-11,100,22.0,,0.22,22.0
2018-08-12,0,22.0,False,0.22,0.0
2018-08-13,72,22.0,,0.22,15.84
2018-08-14,0,22.0,,0.22,0.0
2018-08-15,0,22.0,,0.22,0.0
2018-08-16,0,22.0,,0.22,0.0
2018-08-17,0,22.0,,0.22,0.0
2018-08-18,0,22.0,,0.22,0.0
2018-08-19,0,34.0,False,0.34,0.0
2018-08-20,0,34.0,,0.34,0.0
2018-08-21,0,34.0,,0.34,0.0
2018-08-22,73,34.0,,0.34,24.82
2018-08-23,76,34.0,,0.34,25.840000000000003
2018-08-24,90,34.0,,0.34,30.6
2018-08-25,0,34.0,,0.34,0.0
2018-08-26,0,47.0,False,0.47,0.0
2018-08-27,0,47.0,,0.47,0.0
2018-08-28,0,47.0,,0.47,0.0
2018-08-29,0,47.0,,0.47,0.0
2018-08-30,76,47.0,,0.47,35.72
2018-08-31,0,47.0,,0.47,0.0
2018-09-01,0,47.0,,0.47,0.0
2018-09-02,0,0.0,False,0.0,0.0
2018-09-03,0,0.0,,0.0,0.0
2018-09-04,0,0.0,,0.0,0.0
2018-09-05,0,0.0,,0.0,0.0
2018-09-06,0,0.0,,0.0,0.0
2018-09-07,0,0.0,,0.0,0.0
2018-09-08,0,0.0,,0.0,0.0
2018-09-09,0,35.0,False,0.35,0.0
2018-09-10,0,35.0,,0.35,0.0
2018-09-11,0,35.0,,0.35,0.0
2018-09-12,0,35.0,,0.35,0.0
2018-09-13,0,35.0,,0.35,0.0
2018-09-14,0,35.0,,0.35,0.0
2018-09-15,0,35.0,,0.35,0.0
2018-09-16,0,46.0,False,0.46,0.0
2018-09-17,0,46.0,,0.46,0.0
2018-09-18,49,46.0,,0.46,22.540000000000003
2018-09-19,0,46.0,,0.46,0.0
2018-09-20,0,46.0,,0.46,0.0
2018-09-21,0,46.0,,0.46,0.0
2018-09-22,69,46.0,,0.46,31.740000000000002
2018-09-23,59,23.0,False,0.23,13.57
2018-09-24,50,23.0,,0.23,11.5
2018-09-25,100,23.0,,0.23,23.0
2018-09-26,51,23.0,,0.23,11.73
2018-09-27,54,23.0,,0.23,12.42
2018-09-28,0,23.0,,0.23,0.0
2018-09-29,0,23.0,,0.23,0.0
2018-09-30,0,13.0,False,0.13,0.0
2018-10-01,0,13.0,,0.13,0.0
2018-10-02,52,13.0,,0.13,6.76
2018-10-03,54,13.0,,0.13,7.0200000000000005
2018-10-04,0,13.0,,0.13,0.0
2018-10-05,0,13.0,,0.13,0.0
2018-10-06,0,13.0,,0.13,0.0
2018-10-07,58,25.0,False,0.25,14.5
2018-10-08,56,25.0,,0.25,14.0
2018-10-09,0,25.0,,0.25,0.0
2018-10-10,0,25.0,,0.25,0.0
2018-10-11,0,25.0,,0.25,0.0
2018-10-12,0,25.0,,0.25,0.0
2018-10-13,0,25.0,,0.25,0.0
2018-10-14,0,24.0,False,0.24,0.0
2018-10-15,50,24.0,,0.24,12.0
2018-10-16,0,24.0,,0.24,0.0
2018-10-17,0,24.0,,0.24,0.0
2018-10-18,51,24.0,,0.24,12.24
2018-10-19,0,24.0,,0.24,0.0
2018-10-20,0,24.0,,0.24,0.0
2018-10-21,0,83.0,False,0.83,0.0
2018-10-22,0,83.0,,0.83,0.0
2018-10-23,48,83.0,,0.83,39.839999999999996
2018-10-24,0,83.0,,0.83,0.0
2018-10-25,100,83.0,,0.83,83.0
2018-10-26,0,83.0,,0.83,0.0
2018-10-27,55,83.0,,0.83,45.65
2018-10-28,53,34.0,False,0.34,18.02
2018-10-29,43,34.0,,0.34,14.620000000000001
2018-10-30,0,34.0,,0.34,0.0
2018-10-31,53,34.0,,0.34,18.02
2018-11-01,53,34.0,,0.34,18.02
2018-11-02,0,34.0,,0.34,0.0
2018-11-03,0,34.0,,0.34,0.0
2018-11-04,55,67.0,False,0.67,36.85
2018-11-05,93,67.0,,0.67,62.31
2018-11-06,51,67.0,,0.67,34.17
2018-11-07,0,67.0,,0.67,0.0
2018-11-08,0,67.0,,0.67,0.0
2018-11-09,0,67.0,,0.67,0.0
2018-11-10,0,67.0,,0.67,0.0
2018-11-11,0,24.0,False,0.24,0.0
2018-11-12,51,24.0,,0.24,12.24
2018-11-13,0,24.0,,0.24,0.0
2018-11-14,0,24.0,,0.24,0.0
2018-11-15,0,24.0,,0.24,0.0
2018-11-16,64,24.0,,0.24,15.36
2018-11-17,0,24.0,,0.24,0.0
2018-11-18,0,0.0,False,0.0,0.0
2018-11-19,100,0.0,,0.0,0.0
2018-11-20,51,0.0,,0.0,0.0
2018-11-21,0,0.0,,0.0,0.0
2018-11-22,0,0.0,,0.0,0.0
2018-11-23,0,0.0,,0.0,0.0
2018-11-24,0,0.0,,0.0,0.0
2018-11-25,54,12.0,False,0.12,6.4799999999999995
2018-11-26,0,12.0,,0.12,0.0
2018-11-27,0,12.0,,0.12,0.0
2018-11-28,0,12.0,,0.12,0.0
2018-11-29,0,12.0,,0.12,0.0
2018-11-30,0,12.0,,0.12,0.0
2018-12-01,0,12.0,,0.12,0.0
2018-12-02,0,0.0,False,0.0,0.0
2018-12-03,84,0.0,,0.0,0.0
2018-12-04,0,0.0,,0.0,0.0
2018-12-05,0,0.0,,0.0,0.0
2018-12-06,0,0.0,,0.0,0.0
2018-12-07,0,0.0,,0.0,0.0
2018-12-08,0,0.0,,0.0,0.0
2018-12-09,0,13.0,False,0.13,0.0
2018-12-10,0,13.0,,0.13,0.0
2018-12-11,0,13.0,,0.13,0.0
2018-12-12,0,13.0,,0.13,0.0
2018-12-13,100,13.0,,0.13,13.0
2018-12-14,0,13.0,,0.13,0.0
2018-12-15,0,13.0,,0.13,0.0
2018-12-16,0,0.0,False,0.0,0.0
2018-12-17,0,0.0,,0.0,0.0
2018-12-18,0,0.0,,0.0,0.0
2018-12-19,0,0.0,,0.0,0.0
2018-12-20,0,0.0,,0.0,0.0
2018-12-21,0,0.0,,0.0,0.0
2018-12-22,0,0.0,,0.0,0.0
2018-12-23,0,16.0,False,0.16,0.0
2018-12-24,0,16.0,,0.16,0.0
2018-12-25,0,16.0,,0.16,0.0
2018-12-26,0,16.0,,0.16,0.0
2018-12-27,0,16.0,,0.16,0.0
2018-12-28,0,16.0,,0.16,0.0
2018-12-29,0,16.0,,0.16,0.0
2018-12-30,0,0.0,False,0.0,0.0
2018-12-31,0,0.0,,0.0,0.0
2019-01-01,0,0.0,,0.0,0.0
2019-01-02,0,0.0,,0.0,0.0
2019-01-03,0,0.0,,0.0,0.0
2019-01-04,0,0.0,,0.0,0.0
2019-01-05,0,0.0,,0.0,0.0
2019-01-06,0,13.0,False,0.13,0.0
2019-01-07,84,13.0,,0.13,10.92
2019-01-08,84,13.0,,0.13,10.92
2019-01-09,0,13.0,,0.13,0.0
2019-01-10,83,13.0,,0.13,10.790000000000001
2019-01-11,0,13.0,,0.13,0.0
2019-01-12,100,13.0,,0.13,13.0
2019-01-13,0,0.0,False,0.0,0.0
2019-01-14,0,0.0,,0.0,0.0
2019-01-15,0,0.0,,0.0,0.0
2019-01-16,0,0.0,,0.0,0.0
2019-01-17,0,0.0,,0.0,0.0
2019-01-18,0,0.0,,0.0,0.0
2019-01-19,0,0.0,,0.0,0.0
2019-01-20,0,0.0,False,0.0,0.0
2019-01-21,0,0.0,,0.0,0.0
2019-01-22,0,0.0,,0.0,0.0
2019-01-23,0,0.0,,0.0,0.0
2019-01-24,0,0.0,,0.0,0.0
2019-01-25,88,0.0,,0.0,0.0
2019-01-26,0,0.0,,0.0,0.0
2019-01-27,0,0.0,False,0.0,0.0
2019-01-28,81,0.0,,0.0,0.0
2019-01-29,0,0.0,,0.0,0.0
2019-01-30,0,0.0,,0.0,0.0
2019-01-31,0,0.0,,0.0,0.0
2019-02-01,0,0.0,,0.0,0.0
2019-02-02,0,0.0,,0.0,0.0
2019-02-03,52,12.0,False,0.12,6.24
2019-02-04,47,12.0,,0.12,5.64
2019-02-05,0,12.0,,0.12,0.0
2019-02-06,0,12.0,,0.12,0.0
2019-02-07,0,12.0,,0.12,0.0
2019-02-08,0,12.0,,0.12,0.0
2019-02-09,0,12.0,,0.12,0.0
2019-02-10,0,35.0,False,0.35,0.0
2019-02-11,0,35.0,,0.35,0.0
2019-02-12,0,35.0,,0.35,0.0
2019-02-13,0,35.0,,0.35,0.0
2019-02-14,0,35.0,,0.35,0.0
2019-02-15,0,35.0,,0.35,0.0
2019-02-16,62,35.0,,0.35,21.7
2019-02-17,51,35.0,False,0.35,17.849999999999998
2019-02-18,0,35.0,,0.35,0.0
2019-02-19,0,35.0,,0.35,0.0
2019-02-20,0,35.0,,0.35,0.0
2019-02-21,0,35.0,,0.35,0.0
2019-02-22,0,35.0,,0.35,0.0
2019-02-23,0,35.0,,0.35,0.0
2019-02-24,0,24.0,False,0.24,0.0
2019-02-25,49,24.0,,0.24,11.76
2019-02-26,48,24.0,,0.24,11.52
2019-02-27,0,24.0,,0.24,0.0
2019-02-28,100,24.0,,0.24,24.0
2019-03-01,0,24.0,,0.24,0.0
2019-03-02,0,24.0,,0.24,0.0
2019-03-03,57,12.0,False,0.12,6.84
2019-03-04,100,12.0,,0.12,12.0
2019-03-05,0,12.0,,0.12,0.0
2019-03-06,50,12.0,,0.12,6.0
2019-03-07,0,12.0,,0.12,0.0
2019-03-08,0,12.0,,0.12,0.0
2019-03-09,0,12.0,,0.12,0.0
2019-03-10,56,24.0,False,0.24,13.44
2019-03-11,0,24.0,,0.24,0.0
2019-03-12,0,24.0,,0.24,0.0
2019-03-13,0,24.0,,0.24,0.0
2019-03-14,0,24.0,,0.24,0.0
2019-03-15,53,24.0,,0.24,12.719999999999999
2019-03-16,0,24.0,,0.24,0.0
2019-03-17,0,24.0,False,0.24,0.0
2019-03-18,0,24.0,,0.24,0.0
2019-03-19,0,24.0,,0.24,0.0
2019-03-20,0,24.0,,0.24,0.0
2019-03-21,0,24.0,,0.24,0.0
2019-03-22,0,24.0,,0.24,0.0
2019-03-23,0,24.0,,0.24,0.0
2019-03-24,0,36.0,False,0.36,0.0
2019-03-25,0,36.0,,0.36,0.0
2019-03-26,0,36.0,,0.36,0.0
2019-03-27,0,36.0,,0.36,0.0
2019-03-28,0,36.0,,0.36,0.0
2019-03-29,0,36.0,,0.36,0.0
2019-03-30,0,36.0,,0.36,0.0
2019-03-31,53,48.0,False,0.48,25.439999999999998
2019-04-01,0,48.0,,0.48,0.0
2019-04-02,0,48.0,,0.48,0.0
2019-04-03,0,48.0,,0.48,0.0
2019-04-04,99,48.0,,0.48,47.519999999999996
2019-04-05,0,48.0,,0.48,0.0
2019-04-06,0,48.0,,0.48,0.0
2019-04-07,0,85.0,False,0.85,0.0
2019-04-08,0,85.0,,0.85,0.0
2019-04-09,50,85.0,,0.85,42.5
2019-04-10,97,85.0,,0.85,82.45
2019-04-11,0,85.0,,0.85,0.0
2019-04-12,0,85.0,,0.85,0.0
2019-04-13,0,85.0,,0.85,0.0
2019-04-14,0,14.0,False,0.14,0.0
2019-04-15,0,14.0,,0.14,0.0
2019-04-16,0,14.0,,0.14,0.0
2019-04-17,0,14.0,,0.14,0.0
2019-04-18,0,14.0,,0.14,0.0
2019-04-19,72,14.0,,0.14,10.080000000000002
2019-04-20,0,14.0,,0.14,0.0
2019-04-21,0,13.0,False,0.13,0.0
2019-04-22,0,13.0,,0.13,0.0
2019-04-23,55,13.0,,0.13,7.15
2019-04-24,0,13.0,,0.13,0.0
2019-04-25,0,13.0,,0.13,0.0
2019-04-26,0,13.0,,0.13,0.0
2019-04-27,0,13.0,,0.13,0.0
2019-04-28,100,35.0,False,0.35,35.0
2019-04-29,45,35.0,,0.35,15.749999999999998
2019-04-30,0,35.0,,0.35,0.0
2019-05-01,0,35.0,,0.35,0.0
2019-05-02,0,35.0,,0.35,0.0
2019-05-03,0,35.0,,0.35,0.0
2019-05-04,0,35.0,,0.35,0.0
2019-05-05,0,35.0,False,0.35,0.0
2019-05-06,0,35.0,,0.35,0.0
2019-05-07,0,35.0,,0.35,0.0
2019-05-08,79,35.0,,0.35,27.65
2019-05-09,0,35.0,,0.35,0.0
2019-05-10,0,35.0,,0.35,0.0
2019-05-11,100,35.0,,0.35,35.0
2019-05-12,0,47.0,False,0.47,0.0
2019-05-13,0,47.0,,0.47,0.0
2019-05-14,0,47.0,,0.47,0.0
2019-05-15,78,47.0,,0.47,36.66
2019-05-16,0,47.0,,0.47,0.0
2019-05-17,0,47.0,,0.47,0.0
2019-05-18,0,47.0,,0.47,0.0
2019-05-19,0,35.0,False,0.35,0.0
2019-05-20,0,35.0,,0.35,0.0
2019-05-21,0,35.0,,0.35,0.0
2019-05-22,75,35.0,,0.35,26.25
2019-05-23,78,35.0,,0.35,27.299999999999997
2019-05-24,0,35.0,,0.35,0.0
2019-05-25,0,35.0,,0.35,0.0
2019-05-26,89,44.0,False,0.44,39.160000000000004
2019-05-27,0,44.0,,0.44,0.0
2019-05-28,0,44.0,,0.44,0.0
2019-05-29,0,44.0,,0.44,0.0
2019-05-30,72,44.0,,0.44,31.68
2019-05-31,0,44.0,,0.44,0.0
2019-06-01,0,44.0,,0.44,0.0
2019-06-02,0,67.0,False,0.67,0.0
2019-06-03,0,67.0,,0.67,0.0
2019-06-04,100,67.0,,0.67,67.0
2019-06-05,33,67.0,,0.67,22.110000000000003
2019-06-06,34,67.0,,0.67,22.78
2019-06-07,79,67.0,,0.67,52.93
2019-06-08,0,67.0,,0.67,0.0
2019-06-09,0,22.0,False,0.22,0.0
2019-06-10,34,22.0,,0.22,7.48
2019-06-11,0,22.0,,0.22,0.0
2019-06-12,0,22.0,,0.22,0.0
2019-06-13,0,22.0,,0.22,0.0
2019-06-14,0,22.0,,0.22,0.0
2019-06-15,0,22.0,,0.22,0.0
2019-06-16,0,11.0,False,0.11,0.0
2019-06-17,0,11.0,,0.11,0.0
2019-06-18,35,11.0,,0.11,3.85
2019-06-19,36,11.0,,0.11,3.96
2019-06-20,0,11.0,,0.11,0.0
2019-06-21,0,11.0,,0.11,0.0
2019-06-22,0,11.0,,0.11,0.0
2019-06-23,0,11.0,False,0.11,0.0
2019-06-24,0,11.0,,0.11,0.0
2019-06-25,0,11.0,,0.11,0.0
2019-06-26,0,11.0,,0.11,0.0
2019-06-27,71,11.0,,0.11,7.81
2019-06-28,0,11.0,,0.11,0.0
2019-06-29,48,11.0,,0.11,5.28
2019-06-30,0,34.0,False,0.34,0.0
2019-07-01,0,34.0,,0.34,0.0
2019-07-02,0,34.0,,0.34,0.0
2019-07-03,64,34.0,,0.34,21.76
2019-07-04,100,34.0,,0.34,34.0
2019-07-05,40,34.0,,0.34,13.600000000000001
2019-07-06,46,34.0,,0.34,15.64
2019-07-07,0,24.0,False,0.24,0.0
2019-07-08,0,24.0,,0.24,0.0
2019-07-09,0,24.0,,0.24,0.0
2019-07-10,35,24.0,,0.24,8.4
2019-07-11,36,24.0,,0.24,8.64
2019-07-12,0,24.0,,0.24,0.0
2019-07-13,0,24.0,,0.24,0.0
2019-07-14,0,0.0,False,0.0,0.0
2019-07-15,0,0.0,,0.0,0.0
2019-07-16,0,0.0,,0.0,0.0
