Date,smoke_unscaled,smoke_monthly,isPartial,scale,smoke
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,27,,,,
2018-01-04,100,,,,
2018-01-05,27,,,,
2018-01-06,30,,,,
2018-01-07,58,41.0,False,0.41,23.779999999999998
2018-01-08,52,41.0,,0.41,21.32
2018-01-09,0,41.0,,0.41,0.0
2018-01-10,0,41.0,,0.41,0.0
2018-01-11,26,41.0,,0.41,10.66
2018-01-12,0,41.0,,0.41,0.0
2018-01-13,62,41.0,,0.41,25.419999999999998
2018-01-14,0,8.0,False,0.08,0.0
2018-01-15,0,8.0,,0.08,0.0
2018-01-16,0,8.0,,0.08,0.0
2018-01-17,47,8.0,,0.08,3.7600000000000002
2018-01-18,47,8.0,,0.08,3.7600000000000002
2018-01-19,56,8.0,,0.08,4.48
2018-01-20,0,8.0,,0.08,0.0
2018-01-21,26,32.0,False,0.32,8.32
2018-01-22,45,32.0,,0.32,14.4
2018-01-23,24,32.0,,0.32,7.68
2018-01-24,49,32.0,,0.32,15.68
2018-01-25,75,32.0,,0.32,24.0
2018-01-26,58,32.0,,0.32,18.56
2018-01-27,33,32.0,,0.32,10.56
2018-01-28,61,17.0,False,0.17,10.370000000000001
2018-01-29,78,17.0,,0.17,13.260000000000002
2018-01-30,24,17.0,,0.17,4.08
2018-01-31,23,17.0,,0.17,3.91
2018-02-01,21,17.0,,0.17,3.5700000000000003
2018-02-02,48,17.0,,0.17,8.16
2018-02-03,27,17.0,,0.17,4.590000000000001
2018-02-04,48,12.0,False,0.12,5.76
2018-02-05,0,12.0,,0.12,0.0
2018-02-06,45,12.0,,0.12,5.3999999999999995
2018-02-07,0,12.0,,0.12,0.0
2018-02-08,65,12.0,,0.12,7.8
2018-02-09,46,12.0,,0.12,5.52
2018-02-10,0,12.0,,0.12,0.0
2018-02-11,42,14.0,False,0.14,5.880000000000001
2018-02-12,40,14.0,,0.14,5.6000000000000005
2018-02-13,40,14.0,,0.14,5.6000000000000005
2018-02-14,42,14.0,,0.14,5.880000000000001
2018-02-15,22,14.0,,0.14,3.08
2018-02-16,50,14.0,,0.14,7.000000000000001
2018-02-17,83,14.0,,0.14,11.620000000000001
2018-02-18,23,20.0,False,0.2,4.6000000000000005
2018-02-19,40,20.0,,0.2,8.0
2018-02-20,20,20.0,,0.2,4.0
2018-02-21,41,20.0,,0.2,8.200000000000001
2018-02-22,22,20.0,,0.2,4.4
2018-02-23,50,20.0,,0.2,10.0
2018-02-24,0,20.0,,0.2,0.0
2018-02-25,23,27.0,False,0.27,6.210000000000001
2018-02-26,39,27.0,,0.27,10.530000000000001
2018-02-27,39,27.0,,0.27,10.530000000000001
2018-02-28,100,27.0,,0.27,27.0
2018-03-01,45,27.0,,0.27,12.15
2018-03-02,0,27.0,,0.27,0.0
2018-03-03,0,27.0,,0.27,0.0
2018-03-04,100,34.0,False,0.34,34.0
2018-03-05,45,34.0,,0.34,15.3
2018-03-06,0,34.0,,0.34,0.0
2018-03-07,0,34.0,,0.34,0.0
2018-03-08,16,34.0,,0.34,5.44
2018-03-09,0,34.0,,0.34,0.0
2018-03-10,0,34.0,,0.34,0.0
2018-03-11,66,24.0,False,0.24,15.84
2018-03-12,0,24.0,,0.24,0.0
2018-03-13,15,24.0,,0.24,3.5999999999999996
2018-03-14,31,24.0,,0.24,7.4399999999999995
2018-03-15,16,24.0,,0.24,3.84
2018-03-16,19,24.0,,0.24,4.56
2018-03-17,20,24.0,,0.24,4.8
2018-03-18,51,33.0,False,0.33,16.830000000000002
2018-03-19,60,33.0,,0.33,19.8
2018-03-20,30,33.0,,0.33,9.9
2018-03-21,0,33.0,,0.33,0.0
2018-03-22,79,33.0,,0.33,26.07
2018-03-23,0,33.0,,0.33,0.0
2018-03-24,96,33.0,,0.33,31.68
2018-03-25,0,14.0,False,0.14,0.0
2018-03-26,0,14.0,,0.14,0.0
2018-03-27,16,14.0,,0.14,2.24
2018-03-28,16,14.0,,0.14,2.24
2018-03-29,18,14.0,,0.14,2.5200000000000005
2018-03-30,63,14.0,,0.14,8.82
2018-03-31,0,14.0,,0.14,0.0
2018-04-01,45,21.0,False,0.21,9.45
2018-04-02,77,21.0,,0.21,16.169999999999998
2018-04-03,98,21.0,,0.21,20.58
2018-04-04,61,21.0,,0.21,12.809999999999999
2018-04-05,32,21.0,,0.21,6.72
2018-04-06,36,21.0,,0.21,7.56
2018-04-07,0,21.0,,0.21,0.0
2018-04-08,35,25.0,False,0.25,8.75
2018-04-09,30,25.0,,0.25,7.5
2018-04-10,61,25.0,,0.25,15.25
2018-04-11,32,25.0,,0.25,8.0
2018-04-12,66,25.0,,0.25,16.5
2018-04-13,72,25.0,,0.25,18.0
2018-04-14,39,25.0,,0.25,9.75
2018-04-15,0,17.0,False,0.17,0.0
2018-04-16,33,17.0,,0.17,5.61
2018-04-17,34,17.0,,0.17,5.78
2018-04-18,0,17.0,,0.17,0.0
2018-04-19,71,17.0,,0.17,12.07
2018-04-20,0,17.0,,0.17,0.0
2018-04-21,0,17.0,,0.17,0.0
2018-04-22,0,8.0,False,0.08,0.0
2018-04-23,100,8.0,,0.08,8.0
2018-04-24,35,8.0,,0.08,2.8000000000000003
2018-04-25,0,8.0,,0.08,0.0
2018-04-26,69,8.0,,0.08,5.5200000000000005
2018-04-27,76,8.0,,0.08,6.08
2018-04-28,39,8.0,,0.08,3.12
2018-04-29,69,16.0,False,0.16,11.040000000000001
2018-04-30,62,16.0,,0.16,9.92
2018-05-01,0,16.0,,0.16,0.0
2018-05-02,44,16.0,,0.16,7.04
2018-05-03,0,16.0,,0.16,0.0
2018-05-04,79,16.0,,0.16,12.64
2018-05-05,0,16.0,,0.16,0.0
2018-05-06,24,20.0,False,0.2,4.800000000000001
2018-05-07,21,20.0,,0.2,4.2
2018-05-08,0,20.0,,0.2,0.0
2018-05-09,43,20.0,,0.2,8.6
2018-05-10,45,20.0,,0.2,9.0
2018-05-11,25,20.0,,0.2,5.0
2018-05-12,0,20.0,,0.2,0.0
2018-05-13,25,29.0,False,0.29,7.249999999999999
2018-05-14,0,29.0,,0.29,0.0
2018-05-15,64,29.0,,0.29,18.56
2018-05-16,65,29.0,,0.29,18.849999999999998
2018-05-17,22,29.0,,0.29,6.38
2018-05-18,0,29.0,,0.29,0.0
2018-05-19,27,29.0,,0.29,7.829999999999999
2018-05-20,100,28.0,False,0.28,28.000000000000004
2018-05-21,22,28.0,,0.28,6.16
2018-05-22,22,28.0,,0.28,6.16
2018-05-23,87,28.0,,0.28,24.360000000000003
2018-05-24,22,28.0,,0.28,6.16
2018-05-25,26,28.0,,0.28,7.280000000000001
2018-05-26,57,28.0,,0.28,15.96
2018-05-27,25,22.0,False,0.22,5.5
2018-05-28,43,22.0,,0.22,9.46
2018-05-29,45,22.0,,0.22,9.9
2018-05-30,45,22.0,,0.22,9.9
2018-05-31,23,22.0,,0.22,5.06
2018-06-01,29,22.0,,0.22,6.38
2018-06-02,0,22.0,,0.22,0.0
2018-06-03,29,26.0,False,0.26,7.54
2018-06-04,50,26.0,,0.26,13.0
2018-06-05,0,26.0,,0.26,0.0
2018-06-06,23,26.0,,0.26,5.98
2018-06-07,25,26.0,,0.26,6.5
2018-06-08,29,26.0,,0.26,7.54
2018-06-09,0,26.0,,0.26,0.0
2018-06-10,27,23.0,False,0.23,6.21
2018-06-11,92,23.0,,0.23,21.16
2018-06-12,43,23.0,,0.23,9.89
2018-06-13,66,23.0,,0.23,15.180000000000001
2018-06-14,72,23.0,,0.23,16.560000000000002
2018-06-15,56,23.0,,0.23,12.88
2018-06-16,30,23.0,,0.23,6.9
2018-06-17,54,28.0,False,0.28,15.120000000000001
2018-06-18,23,28.0,,0.28,6.44
2018-06-19,71,28.0,,0.28,19.880000000000003
2018-06-20,70,28.0,,0.28,19.6
2018-06-21,72,28.0,,0.28,20.160000000000004
2018-06-22,29,28.0,,0.28,8.120000000000001
2018-06-23,0,28.0,,0.28,0.0
2018-06-24,27,16.0,False,0.16,4.32
2018-06-25,23,16.0,,0.16,3.68
2018-06-26,0,16.0,,0.16,0.0
2018-06-27,72,16.0,,0.16,11.52
2018-06-28,100,16.0,,0.16,16.0
2018-06-29,30,16.0,,0.16,4.8
2018-06-30,33,16.0,,0.16,5.28
2018-07-01,37,32.0,False,0.32,11.84
2018-07-02,33,32.0,,0.32,10.56
2018-07-03,0,32.0,,0.32,0.0
2018-07-04,17,32.0,,0.32,5.44
2018-07-05,35,32.0,,0.32,11.200000000000001
2018-07-06,100,32.0,,0.32,32.0
2018-07-07,43,32.0,,0.32,13.76
2018-07-08,19,34.0,False,0.34,6.460000000000001
2018-07-09,17,34.0,,0.34,5.78
2018-07-10,17,34.0,,0.34,5.78
2018-07-11,34,34.0,,0.34,11.56
2018-07-12,56,34.0,,0.34,19.040000000000003
2018-07-13,21,34.0,,0.34,7.140000000000001
2018-07-14,0,34.0,,0.34,0.0
2018-07-15,19,24.0,False,0.24,4.56
2018-07-16,71,24.0,,0.24,17.04
2018-07-17,18,24.0,,0.24,4.32
2018-07-18,36,24.0,,0.24,8.64
2018-07-19,0,24.0,,0.24,0.0
2018-07-20,40,24.0,,0.24,9.6
2018-07-21,91,24.0,,0.24,21.84
2018-07-22,0,20.0,False,0.2,0.0
2018-07-23,17,20.0,,0.2,3.4000000000000004
2018-07-24,17,20.0,,0.2,3.4000000000000004
2018-07-25,0,20.0,,0.2,0.0
2018-07-26,0,20.0,,0.2,0.0
2018-07-27,39,20.0,,0.2,7.800000000000001
2018-07-28,66,20.0,,0.2,13.200000000000001
2018-07-29,57,22.0,False,0.22,12.540000000000001
2018-07-30,33,22.0,,0.22,7.26
2018-07-31,65,22.0,,0.22,14.3
2018-08-01,42,22.0,,0.22,9.24
2018-08-02,14,22.0,,0.22,3.08
2018-08-03,34,22.0,,0.22,7.48
2018-08-04,20,22.0,,0.22,4.4
2018-08-05,0,28.0,False,0.28,0.0
2018-08-06,42,28.0,,0.28,11.760000000000002
2018-08-07,0,28.0,,0.28,0.0
2018-08-08,42,28.0,,0.28,11.760000000000002
2018-08-09,15,28.0,,0.28,4.2
2018-08-10,17,28.0,,0.28,4.760000000000001
2018-08-11,79,28.0,,0.28,22.12
2018-08-12,33,26.0,False,0.26,8.58
2018-08-13,14,26.0,,0.26,3.64
2018-08-14,58,26.0,,0.26,15.08
2018-08-15,0,26.0,,0.26,0.0
2018-08-16,29,26.0,,0.26,7.54
2018-08-17,100,26.0,,0.26,26.0
2018-08-18,81,26.0,,0.26,21.060000000000002
2018-08-19,34,29.0,False,0.29,9.86
2018-08-20,29,29.0,,0.29,8.41
2018-08-21,42,29.0,,0.29,12.18
2018-08-22,29,29.0,,0.29,8.41
2018-08-23,46,29.0,,0.29,13.34
2018-08-24,0,29.0,,0.29,0.0
2018-08-25,39,29.0,,0.29,11.309999999999999
2018-08-26,17,19.0,False,0.19,3.23
2018-08-27,46,19.0,,0.19,8.74
2018-08-28,15,19.0,,0.19,2.85
2018-08-29,29,19.0,,0.19,5.51
2018-08-30,31,19.0,,0.19,5.89
2018-08-31,18,19.0,,0.19,3.42
2018-09-01,0,19.0,,0.19,0.0
2018-09-02,0,27.0,False,0.27,0.0
2018-09-03,25,27.0,,0.27,6.75
2018-09-04,100,27.0,,0.27,27.0
2018-09-05,75,27.0,,0.27,20.25
2018-09-06,49,27.0,,0.27,13.23
2018-09-07,30,27.0,,0.27,8.100000000000001
2018-09-08,33,27.0,,0.27,8.91
2018-09-09,87,17.0,False,0.17,14.790000000000001
2018-09-10,0,17.0,,0.17,0.0
2018-09-11,75,17.0,,0.17,12.750000000000002
2018-09-12,0,17.0,,0.17,0.0
2018-09-13,0,17.0,,0.17,0.0
2018-09-14,29,17.0,,0.17,4.930000000000001
2018-09-15,34,17.0,,0.17,5.78
2018-09-16,0,14.0,False,0.14,0.0
2018-09-17,0,14.0,,0.14,0.0
2018-09-18,92,14.0,,0.14,12.88
2018-09-19,0,14.0,,0.14,0.0
2018-09-20,0,14.0,,0.14,0.0
2018-09-21,59,14.0,,0.14,8.260000000000002
2018-09-22,0,14.0,,0.14,0.0
2018-09-23,57,19.0,False,0.19,10.83
2018-09-24,50,19.0,,0.19,9.5
2018-09-25,50,19.0,,0.19,9.5
2018-09-26,0,19.0,,0.19,0.0
2018-09-27,0,19.0,,0.19,0.0
2018-09-28,62,19.0,,0.19,11.78
2018-09-29,68,19.0,,0.19,12.92
2018-09-30,31,16.0,False,0.16,4.96
2018-10-01,17,16.0,,0.16,2.72
2018-10-02,18,16.0,,0.16,2.88
2018-10-03,18,16.0,,0.16,2.88
2018-10-04,18,16.0,,0.16,2.88
2018-10-05,21,16.0,,0.16,3.36
2018-10-06,0,16.0,,0.16,0.0
2018-10-07,19,20.0,False,0.2,3.8000000000000003
2018-10-08,18,20.0,,0.2,3.6
2018-10-09,18,20.0,,0.2,3.6
2018-10-10,53,20.0,,0.2,10.600000000000001
2018-10-11,0,20.0,,0.2,0.0
2018-10-12,39,20.0,,0.2,7.800000000000001
2018-10-13,0,20.0,,0.2,0.0
2018-10-14,0,17.0,False,0.17,0.0
2018-10-15,100,17.0,,0.17,17.0
2018-10-16,16,17.0,,0.17,2.72
2018-10-17,0,17.0,,0.17,0.0
2018-10-18,0,17.0,,0.17,0.0
2018-10-19,63,17.0,,0.17,10.71
2018-10-20,0,17.0,,0.17,0.0
2018-10-21,23,19.0,False,0.19,4.37
2018-10-22,0,19.0,,0.19,0.0
2018-10-23,32,19.0,,0.19,6.08
2018-10-24,16,19.0,,0.19,3.04
2018-10-25,0,19.0,,0.19,0.0
2018-10-26,39,19.0,,0.19,7.41
2018-10-27,73,19.0,,0.19,13.870000000000001
2018-10-28,0,16.0,False,0.16,0.0
2018-10-29,14,16.0,,0.16,2.24
2018-10-30,0,16.0,,0.16,0.0
2018-10-31,34,16.0,,0.16,5.44
2018-11-01,22,16.0,,0.16,3.52
2018-11-02,0,16.0,,0.16,0.0
2018-11-03,79,16.0,,0.16,12.64
2018-11-04,45,18.0,False,0.18,8.1
2018-11-05,39,18.0,,0.18,7.02
2018-11-06,21,18.0,,0.18,3.78
2018-11-07,20,18.0,,0.18,3.5999999999999996
2018-11-08,60,18.0,,0.18,10.799999999999999
2018-11-09,100,18.0,,0.18,18.0
2018-11-10,54,18.0,,0.18,9.719999999999999
2018-11-11,0,22.0,False,0.22,0.0
2018-11-12,43,22.0,,0.22,9.46
2018-11-13,21,22.0,,0.22,4.62
2018-11-14,65,22.0,,0.22,14.3
2018-11-15,22,22.0,,0.22,4.84
2018-11-16,0,22.0,,0.22,0.0
2018-11-17,55,22.0,,0.22,12.1
2018-11-18,23,12.0,False,0.12,2.76
2018-11-19,0,12.0,,0.12,0.0
2018-11-20,41,12.0,,0.12,4.92
2018-11-21,41,12.0,,0.12,4.92
2018-11-22,21,12.0,,0.12,2.52
2018-11-23,0,12.0,,0.12,0.0
2018-11-24,25,12.0,,0.12,3.0
2018-11-25,22,12.0,False,0.12,2.6399999999999997
2018-11-26,0,12.0,,0.12,0.0
2018-11-27,21,12.0,,0.12,2.52
2018-11-28,0,12.0,,0.12,0.0
2018-11-29,43,12.0,,0.12,5.16
2018-11-30,25,12.0,,0.12,3.0
2018-12-01,30,12.0,,0.12,3.5999999999999996
2018-12-02,80,14.0,False,0.14,11.200000000000001
2018-12-03,46,14.0,,0.14,6.44
2018-12-04,48,14.0,,0.14,6.720000000000001
2018-12-05,77,14.0,,0.14,10.780000000000001
2018-12-06,0,14.0,,0.14,0.0
2018-12-07,100,14.0,,0.14,14.000000000000002
2018-12-08,0,14.0,,0.14,0.0
2018-12-09,0,23.0,False,0.23,0.0
2018-12-10,50,23.0,,0.23,11.5
2018-12-11,26,23.0,,0.23,5.98
2018-12-12,26,23.0,,0.23,5.98
2018-12-13,28,23.0,,0.23,6.44
2018-12-14,30,23.0,,0.23,6.9
2018-12-15,70,23.0,,0.23,16.1
2018-12-16,60,21.0,False,0.21,12.6
2018-12-17,73,21.0,,0.21,15.33
2018-12-18,51,21.0,,0.21,10.709999999999999
2018-12-19,27,21.0,,0.21,5.67
2018-12-20,27,21.0,,0.21,5.67
2018-12-21,32,21.0,,0.21,6.72
2018-12-22,0,21.0,,0.21,0.0
2018-12-23,62,14.0,False,0.14,8.680000000000001
2018-12-24,34,14.0,,0.14,4.760000000000001
2018-12-25,0,14.0,,0.14,0.0
2018-12-26,0,14.0,,0.14,0.0
2018-12-27,0,14.0,,0.14,0.0
2018-12-28,33,14.0,,0.14,4.62
2018-12-29,0,14.0,,0.14,0.0
2018-12-30,0,16.0,False,0.16,0.0
2018-12-31,37,16.0,,0.16,5.92
2019-01-01,36,16.0,,0.16,5.76
2019-01-02,100,16.0,,0.16,16.0
2019-01-03,62,16.0,,0.16,9.92
2019-01-04,0,16.0,,0.16,0.0
2019-01-05,36,16.0,,0.16,5.76
2019-01-06,62,19.0,False,0.19,11.78
2019-01-07,0,19.0,,0.19,0.0
2019-01-08,28,19.0,,0.19,5.32
2019-01-09,28,19.0,,0.19,5.32
2019-01-10,56,19.0,,0.19,10.64
2019-01-11,31,19.0,,0.19,5.89
2019-01-12,0,19.0,,0.19,0.0
2019-01-13,0,15.0,False,0.15,0.0
2019-01-14,26,15.0,,0.15,3.9
2019-01-15,27,15.0,,0.15,4.05
2019-01-16,81,15.0,,0.15,12.15
2019-01-17,27,15.0,,0.15,4.05
2019-01-18,30,15.0,,0.15,4.5
2019-01-19,0,15.0,,0.15,0.0
2019-01-20,28,13.0,False,0.13,3.64
2019-01-21,0,13.0,,0.13,0.0
2019-01-22,52,13.0,,0.13,6.76
2019-01-23,100,13.0,,0.13,13.0
2019-01-24,0,13.0,,0.13,0.0
2019-01-25,62,13.0,,0.13,8.06
2019-01-26,0,13.0,,0.13,0.0
2019-01-27,62,9.0,False,0.09,5.58
2019-01-28,56,9.0,,0.09,5.04
2019-01-29,24,9.0,,0.09,2.16
2019-01-30,25,9.0,,0.09,2.25
2019-01-31,26,9.0,,0.09,2.34
2019-02-01,77,9.0,,0.09,6.93
2019-02-02,41,9.0,,0.09,3.69
2019-02-03,0,22.0,False,0.22,0.0
2019-02-04,0,22.0,,0.22,0.0
2019-02-05,72,22.0,,0.22,15.84
2019-02-06,0,22.0,,0.22,0.0
2019-02-07,97,22.0,,0.22,21.34
2019-02-08,38,22.0,,0.22,8.36
2019-02-09,43,22.0,,0.22,9.46
2019-02-10,71,10.0,False,0.1,7.1000000000000005
2019-02-11,0,10.0,,0.1,0.0
2019-02-12,33,10.0,,0.1,3.3000000000000003
2019-02-13,65,10.0,,0.1,6.5
2019-02-14,67,10.0,,0.1,6.7
2019-02-15,38,10.0,,0.1,3.8000000000000003
2019-02-16,0,10.0,,0.1,0.0
2019-02-17,0,23.0,False,0.23,0.0
2019-02-18,33,23.0,,0.23,7.590000000000001
2019-02-19,33,23.0,,0.23,7.590000000000001
2019-02-20,67,23.0,,0.23,15.41
2019-02-21,100,23.0,,0.23,23.0
2019-02-22,37,23.0,,0.23,8.51
2019-02-23,83,23.0,,0.23,19.09
2019-02-24,37,20.0,False,0.2,7.4
2019-02-25,0,20.0,,0.2,0.0
2019-02-26,0,20.0,,0.2,0.0
2019-02-27,65,20.0,,0.2,13.0
2019-02-28,34,20.0,,0.2,6.800000000000001
2019-03-01,62,20.0,,0.2,12.4
2019-03-02,35,20.0,,0.2,7.0
2019-03-03,56,20.0,False,0.2,11.200000000000001
2019-03-04,50,20.0,,0.2,10.0
2019-03-05,51,20.0,,0.2,10.200000000000001
2019-03-06,49,20.0,,0.2,9.8
2019-03-07,0,20.0,,0.2,0.0
2019-03-08,28,20.0,,0.2,5.6000000000000005
2019-03-09,100,20.0,,0.2,20.0
2019-03-10,28,32.0,False,0.32,8.96
2019-03-11,49,32.0,,0.32,15.68
2019-03-12,25,32.0,,0.32,8.0
2019-03-13,50,32.0,,0.32,16.0
2019-03-14,76,32.0,,0.32,24.32
2019-03-15,27,32.0,,0.32,8.64
2019-03-16,67,32.0,,0.32,21.44
2019-03-17,28,22.0,False,0.22,6.16
2019-03-18,0,22.0,,0.22,0.0
2019-03-19,49,22.0,,0.22,10.78
2019-03-20,0,22.0,,0.22,0.0
2019-03-21,26,22.0,,0.22,5.72
2019-03-22,0,22.0,,0.22,0.0
2019-03-23,0,22.0,,0.22,0.0
2019-03-24,51,17.0,False,0.17,8.67
2019-03-25,25,17.0,,0.17,4.25
2019-03-26,24,17.0,,0.17,4.08
2019-03-27,0,17.0,,0.17,0.0
2019-03-28,50,17.0,,0.17,8.5
2019-03-29,30,17.0,,0.17,5.1000000000000005
2019-03-30,0,17.0,,0.17,0.0
2019-03-31,26,21.0,False,0.21,5.46
2019-04-01,33,21.0,,0.21,6.93
2019-04-02,0,21.0,,0.21,0.0
2019-04-03,17,21.0,,0.21,3.57
2019-04-04,18,21.0,,0.21,3.78
2019-04-05,20,21.0,,0.21,4.2
2019-04-06,23,21.0,,0.21,4.83
2019-04-07,20,24.0,False,0.24,4.8
2019-04-08,0,24.0,,0.24,0.0
2019-04-09,17,24.0,,0.24,4.08
2019-04-10,0,24.0,,0.24,0.0
2019-04-11,34,24.0,,0.24,8.16
2019-04-12,42,24.0,,0.24,10.08
2019-04-13,74,24.0,,0.24,17.759999999999998
2019-04-14,0,27.0,False,0.27,0.0
2019-04-15,19,27.0,,0.27,5.130000000000001
2019-04-16,0,27.0,,0.27,0.0
2019-04-17,19,27.0,,0.27,5.130000000000001
2019-04-18,22,27.0,,0.27,5.94
2019-04-19,100,27.0,,0.27,27.0
2019-04-20,0,27.0,,0.27,0.0
2019-04-21,24,12.0,False,0.12,2.88
2019-04-22,0,12.0,,0.12,0.0
2019-04-23,19,12.0,,0.12,2.28
2019-04-24,0,12.0,,0.12,0.0
2019-04-25,38,12.0,,0.12,4.56
2019-04-26,38,12.0,,0.12,4.56
2019-04-27,0,12.0,,0.12,0.0
2019-04-28,35,27.0,False,0.27,9.450000000000001
2019-04-29,16,27.0,,0.27,4.32
2019-04-30,33,27.0,,0.27,8.91
2019-05-01,18,27.0,,0.27,4.86
2019-05-02,35,27.0,,0.27,9.450000000000001
2019-05-03,42,27.0,,0.27,11.34
2019-05-04,0,27.0,,0.27,0.0
2019-05-05,20,21.0,False,0.21,4.2
2019-05-06,0,21.0,,0.21,0.0
2019-05-07,53,21.0,,0.21,11.129999999999999
2019-05-08,18,21.0,,0.21,3.78
2019-05-09,35,21.0,,0.21,7.35
2019-05-10,0,21.0,,0.21,0.0
2019-05-11,23,21.0,,0.21,4.83
2019-05-12,19,21.0,False,0.21,3.9899999999999998
2019-05-13,18,21.0,,0.21,3.78
2019-05-14,54,21.0,,0.21,11.34
2019-05-15,0,21.0,,0.21,0.0
2019-05-16,18,21.0,,0.21,3.78
2019-05-17,21,21.0,,0.21,4.41
2019-05-18,24,21.0,,0.21,5.04
2019-05-19,58,23.0,False,0.23,13.34
2019-05-20,52,23.0,,0.23,11.96
2019-05-21,68,23.0,,0.23,15.64
2019-05-22,51,23.0,,0.23,11.73
2019-05-23,35,23.0,,0.23,8.05
2019-05-24,0,23.0,,0.23,0.0
2019-05-25,24,23.0,,0.23,5.5200000000000005
2019-05-26,100,28.0,False,0.28,28.000000000000004
2019-05-27,0,28.0,,0.28,0.0
2019-05-28,52,28.0,,0.28,14.560000000000002
2019-05-29,67,28.0,,0.28,18.76
2019-05-30,32,28.0,,0.28,8.96
2019-05-31,38,28.0,,0.28,10.64
2019-06-01,0,28.0,,0.28,0.0
2019-06-02,43,18.0,False,0.18,7.739999999999999
2019-06-03,13,18.0,,0.18,2.34
2019-06-04,0,18.0,,0.18,0.0
2019-06-05,43,18.0,,0.18,7.739999999999999
2019-06-06,22,18.0,,0.18,3.96
2019-06-07,13,18.0,,0.18,2.34
2019-06-08,29,18.0,,0.18,5.22
2019-06-09,26,36.0,False,0.36,9.36
2019-06-10,23,36.0,,0.36,8.28
2019-06-11,44,36.0,,0.36,15.84
2019-06-12,0,36.0,,0.36,0.0
2019-06-13,46,36.0,,0.36,16.56
2019-06-14,65,36.0,,0.36,23.4
2019-06-15,0,36.0,,0.36,0.0
2019-06-16,12,20.0,False,0.2,2.4000000000000004
2019-06-17,0,20.0,,0.2,0.0
2019-06-18,23,20.0,,0.2,4.6000000000000005
2019-06-19,0,20.0,,0.2,0.0
2019-06-20,0,20.0,,0.2,0.0
2019-06-21,26,20.0,,0.2,5.2
2019-06-22,100,20.0,,0.2,20.0
2019-06-23,25,31.0,False,0.31,7.75
2019-06-24,11,31.0,,0.31,3.41
2019-06-25,23,31.0,,0.31,7.13
2019-06-26,0,31.0,,0.31,0.0
2019-06-27,24,31.0,,0.31,7.4399999999999995
2019-06-28,0,31.0,,0.31,0.0
2019-06-29,16,31.0,,0.31,4.96
2019-06-30,13,14.0,False,0.14,1.8200000000000003
2019-07-01,21,14.0,,0.14,2.9400000000000004
2019-07-02,21,14.0,,0.14,2.9400000000000004
2019-07-03,0,14.0,,0.14,0.0
2019-07-04,85,14.0,,0.14,11.9
2019-07-05,26,14.0,,0.14,3.6400000000000006
2019-07-06,29,14.0,,0.14,4.0600000000000005
2019-07-07,0,17.0,False,0.17,0.0
2019-07-08,45,17.0,,0.17,7.65
2019-07-09,0,17.0,,0.17,0.0
2019-07-10,0,17.0,,0.17,0.0
2019-07-11,23,17.0,,0.17,3.91
2019-07-12,100,17.0,,0.17,17.0
2019-07-13,55,17.0,,0.17,9.350000000000001
2019-07-14,91,19.0,False,0.19,17.29
2019-07-15,22,19.0,,0.19,4.18
2019-07-16,43,19.0,,0.19,8.17
2019-07-17,0,19.0,,0.19,0.0
2019-07-18,0,19.0,,0.19,0.0
2019-07-19,26,19.0,,0.19,4.94
2019-07-20,28,19.0,,0.19,5.32
2019-07-21,25,23.0,False,0.23,5.75
2019-07-22,22,23.0,,0.23,5.0600000000000005
2019-07-23,68,23.0,,0.23,15.64
2019-07-24,66,23.0,,0.23,15.180000000000001
2019-07-25,0,23.0,,0.23,0.0
